genre,m,rho,beta,A,B,C,ecart_A,ecart_B,ecart_C,critere_deux_cibles,critere_trois_cibles
A*,2.0,0.6,1.2,-0.06638582566021595,0.03524047372082305,0.10299429657794676,3.361701264780391,1.3505884143543037,53.06919918649693,3.361701264780391,53.06919918649693
A*,5.0,0.6,0.9,-0.06872579458451133,0.02887211483015989,0.05209125475285171,3.8814943568753866,4.958091110781525,13.363320548885126,4.958091110781525,13.363320548885126
A*,2.0,0.6,0.8,-0.07434321295964447,0.041959784276063616,0.07461977186311786,5.12932941848029,2.4557188874689535,30.936230422113873,5.12932941848029,30.936230422113873
A*,5.0,0.6,0.8,-0.07465695341099032,0.030278257282897444,0.04752851711026616,5.19902270270604,4.161549524965955,9.804250194813479,5.19902270270604,9.804250194813479
A*,5.0,0.6,1.0,-0.07258994235378596,0.027587945634623558,0.05465779467680608,4.739863584111195,5.685538152492405,15.365297623050425,5.685538152492405,15.365297623050425
A*,5.0,0.6,1.1,-0.07725507865662007,0.02770284238359882,0.06031368821292775,5.7761618010308675,5.620452258488114,19.777061916118402,5.7761618010308675,19.777061916118402
A*,2.0,0.6,1.0,-0.07836419263628014,0.04201875272240094,0.0877851711026616,6.022536775923704,2.4891229139722175,41.20563133959145,6.022536775923704,41.20563133959145
A*,5.0,0.6,1.2,-0.08086323461174438,0.02731880355974268,0.06535171102661597,6.577665838628199,5.8379998427841215,23.70686876540585,6.577665838628199,23.70686876540585
A*,2.0,0.5,1.0,-0.043555702371573024,0.025265544822909373,0.05508555133079848,1.709708126131519,7.001115263375245,15.69896046874465,7.001115263375245,15.69896046874465
A*,3.0,0.6,1.0,-0.08279563660541789,0.03786380543817176,0.07138783269961976,7.006923337321069,0.13545789780211703,28.415222254646462,7.006923337321069,28.415222254646462
A*,3.0,0.6,0.8,-0.084668300640657,0.036611472730640644,0.05960076045627376,7.422910840071833,0.5739546363856447,19.22095717329471,7.422910840071833,19.22095717329471
A*,3.0,0.6,1.2,-0.08493542798683529,0.0349538460187985,0.08631178707224335,7.482249640605244,1.5129552384728824,40.056348204422484,7.482249640605244,40.056348204422484
A*,2.0,0.6,0.9,-0.08587790308535098,0.04299750799783074,0.07804182509505703,7.691607996006277,3.043561248223775,33.60553318766762,7.691607996006277,33.60553318766762
A*,2.0,0.5,1.2,-0.04335150535906446,0.02263422521642209,0.07243346007604562,1.7550677868630604,8.49168649821597,29.230842544121217,8.49168649821597,29.230842544121217
A*,8.0,0.6,0.8,-0.05714893472819854,0.022495583878205765,0.039115969581749045,1.3098483324414234,8.570223058425375,3.2422142294938787,8.570223058425375,8.570223058425375
A*,2.0,0.5,0.8,-0.032534587951980665,0.022360045027459582,0.04771863117870723,4.157902665389206,8.647002143576241,9.952544792899802,8.647002143576241,9.952544792899802
A*,2.0,0.5,1.1,-0.03317707593084124,0.021903031762944742,0.06330798479087452,4.015182473809584,8.905887770524412,22.11270183597792,8.905887770524412,22.11270183597792
A*,2.0,0.6,1.1,-0.09183963934379014,0.041068576426712584,0.09296577946768061,9.015928713197882,1.9508737971075087,45.246659137443636,9.015928713197882,45.246659137443636
A**,,0.7,1.2,-0.06651522733511805,0.02152203440501408,0.040541825095057035,3.390446132296053,9.121712446812934,4.354423715141273,9.121712446812934,9.121712446812934
A*,3.0,0.6,1.1,-0.09237176552878146,0.03486422804205335,0.07281368821292776,9.134133494556096,1.5637213931929748,29.52743174029386,9.134133494556096,29.52743174029386
A**,,0.7,1.1,-0.05354111004597273,0.021479779299438485,0.03930608365019011,0.508417882729149,9.145648818791791,3.3905088275801964,9.145648818791791,9.145648818791791
A*,3.0,0.5,0.9,-0.033335900173925126,0.021188350483171248,0.04477186311787072,3.9799017726194683,9.310735343994075,7.653978522561861,9.310735343994075,9.310735343994075
A*,3.0,0.5,1.0,-0.03153932083779254,0.02106219090480917,0.046768060836501896,4.37898806758107,9.382201325565651,9.211071802468203,9.382201325565651,9.382201325565651
A**,,0.7,1.0,-0.05676664146938415,0.02061341921416247,0.03754752851711027,1.224926950356812,9.636418324306373,2.018783795281755,9.636418324306373,9.636418324306373
A*,2.0,0.5,0.9,-0.0345623679211301,0.02049631470092293,0.053897338403041825,3.7074582131963774,9.70275485692466,14.772119230705155,9.70275485692466,14.772119230705155
A*,8.0,0.6,1.1,-0.05739551093383499,0.02048315237596918,0.05313688212927757,1.3646219694047503,9.71021095724456,14.178940838359884,9.71021095724456,14.178940838359884
A*,8.0,0.6,0.9,-0.05192544621785389,0.019644435470551804,0.04315589353612167,0.149519570753996,10.185321350640935,6.393474438828149,10.185321350640935,10.185321350640935
A*,8.0,0.6,1.2,-0.06014274877977799,0.01956779640546376,0.055941064638783275,1.974884456156835,10.228735303702235,16.366286160133086,10.228735303702235,16.366286160133086
A*,3.0,0.5,0.8,-0.038331734687247654,0.019388567358466828,0.040351711026615965,2.8701433299697383,10.33026370080113,4.2061291170549495,10.33026370080113,10.33026370080113
A*,3.0,0.6,0.9,-0.09808374286177574,0.0427431476970751,0.06573193916349812,10.402973575749765,2.899473032312242,24.00345796157851,10.402973575749765,24.00345796157851
A*,3.0,0.5,1.1,-0.036524569404433216,0.01923941264136805,0.05627376425855513,3.271581152723603,10.414755805181047,16.625801706784138,10.414755805181047,16.625801706784138
A**,,0.7,0.8,-0.04465216341766837,0.0192330245752322,0.036501901140684405,1.4661438327795338,10.418374471497705,1.2031635058069965,10.418374471497705,10.418374471497705
A*,8.0,0.6,1.0,-0.06017616869390813,0.01900225326961227,0.04862167300380228,1.9823082472691402,10.549100161047408,10.656944133809814,10.549100161047408,10.656944133809814
A*,3.0,0.5,1.2,-0.03655717906135547,0.018801084103504628,0.060218631178707224,3.2643373495141734,10.663057040932951,19.70291461707525,10.663057040932951,19.70291461707525
A**,,0.7,0.9,-0.0480193537382223,0.017621388769709093,0.037119771863117865,0.7181671181229051,11.331322471744254,1.685120949587532,11.331322471744254,11.331322471744254
A**,,0.8,0.8,-0.10425283493556137,0.029713020148275798,0.044296577946768056,11.77335563986942,4.481741040908621,7.283242027346061,11.77335563986942,11.77335563986942
A*,12.0,0.6,0.8,-0.036140901894114175,0.015766711834844037,0.034838403041825096,3.3568078065712283,12.381946684103983,0.09441422744828624,12.381946684103983,12.381946684103983
A*,5.0,0.5,1.2,-0.030009319114704003,0.01562000537120093,0.0497148288973384,4.718857677941104,12.465051919261468,11.509638072806144,12.465051919261468,12.465051919261468
