condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement,pole_endogroupe
humains vague 2,natspac/y,63,0.039683,1.552633,1.468749,0.945973,-0.007937,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents composite,natenvir/y,63,0.047619,0.767765,0.635628,0.827894,0.015873,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natenvir/y,63,0.015873,0.767765,0.849180,1.106042,-0.015873,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents enquete,natenvir/y,63,0.039683,0.767765,0.693207,0.902889,0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natenvir/y,63,0.182540,0.767765,1.356919,1.767363,-0.182540,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v7,natenvir/y,63,0.031746,0.767765,0.675028,0.879212,0.015873,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v8,natenvir/y,63,0.079365,0.767765,0.129045,0.168078,0.079365,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C2,natenvir/y,63,0.007937,0.767765,0.679577,0.885137,0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C3,natenvir/y,63,0.063492,0.767765,0.342824,0.446522,0.063492,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 mode,natenvir/y,63,0.095238,0.767765,0.000000,0.000000,0.095238,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natenvir/y,63,0.071429,0.767765,1.045937,1.362314,-0.071429,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natenvir/y,63,0.071429,0.767765,0.257720,0.335676,0.071429,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natenvir/y,63,0.071429,0.767765,0.287645,0.374653,0.071429,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B3 foret,natenvir/y,63,0.095238,0.767765,0.000000,0.000000,0.095238,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natenvir/y,63,0.007937,0.767765,0.804189,1.047441,-0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents composite,natheal/y,63,0.111111,1.013958,0.411388,0.405725,0.111111,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natheal/y,63,0.055556,1.013958,0.767765,0.757196,0.055556,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents enquete,natheal/y,63,0.055556,1.013958,0.768755,0.758172,0.055556,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natheal/y,63,0.111111,1.013958,0.411388,0.405725,0.111111,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents v7,natheal/y,63,0.119048,1.013958,0.342824,0.338104,0.119048,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents v8,natheal/y,63,0.111111,1.013958,0.415564,0.409843,0.111111,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
C2,natheal/y,63,0.206349,1.013958,1.097860,1.082746,-0.158730,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
C3,natheal/y,63,0.095238,1.013958,0.538523,0.531110,0.095238,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B0 mode,natheal/y,63,0.150794,1.013958,0.000000,0.000000,0.150794,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natheal/y,63,0.063492,1.013958,1.156924,1.140997,-0.047619,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natheal/y,63,0.142857,1.013958,0.129045,0.127268,0.142857,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natheal/y,63,0.150794,1.013958,0.000000,0.000000,0.150794,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B3 foret,natheal/y,63,0.150794,1.013958,0.000000,0.000000,0.150794,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natheal/y,63,0.023810,1.013958,1.045550,1.031156,-0.007937,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents composite,natcity/y,63,0.246032,1.383864,1.052531,0.760574,0.246032,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natcity/y,63,0.103175,1.383864,1.529269,1.105072,0.039683,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents enquete,natcity/y,63,0.277778,1.383864,0.941098,0.680051,0.277778,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natcity/y,63,0.134921,1.383864,1.472729,1.064216,0.087302,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents v7,natcity/y,63,0.134921,1.383864,1.374544,0.993266,0.134921,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents v8,natcity/y,63,0.341270,1.383864,0.622061,0.449510,0.341270,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
C2,natcity/y,63,0.166667,1.383864,1.104365,0.798030,-0.166667,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
C3,natcity/y,63,0.325397,1.383864,0.723745,0.522989,0.325397,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B0 mode,natcity/y,63,0.214286,1.383864,0.000000,0.000000,-0.087302,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natcity/y,63,0.095238,1.383864,1.569204,1.133930,-0.095238,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natcity/y,63,0.071429,1.383864,1.029809,0.744155,0.023810,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natcity/y,63,0.174603,1.383864,0.411388,0.297275,-0.047619,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B3 foret,natcity/y,63,0.158730,1.383864,0.514708,0.371936,-0.031746,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natcity/y,63,0.079365,1.383864,1.478274,1.068222,-0.079365,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents composite,natdrug/y,63,0.134921,1.153682,0.514708,0.446144,0.134921,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natdrug/y,63,0.103175,1.153682,0.723745,0.627335,0.103175,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents enquete,natdrug/y,63,0.142857,1.153682,0.480134,0.416175,0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natdrug/y,63,0.158730,1.153682,0.352604,0.305634,0.158730,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v7,natdrug/y,63,0.174603,1.153682,0.129045,0.111855,0.174603,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v8,natdrug/y,63,0.174603,1.153682,0.214524,0.185947,0.174603,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C2,natdrug/y,63,0.055556,1.153682,1.076805,0.933364,-0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C3,natdrug/y,63,0.158730,1.153682,0.342824,0.297156,0.158730,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 mode,natdrug/y,63,0.190476,1.153682,0.000000,0.000000,0.190476,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natdrug/y,63,0.055556,1.153682,1.307455,1.133290,-0.055556,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natdrug/y,63,0.166667,1.153682,0.287645,0.249328,0.166667,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natdrug/y,63,0.174603,1.153682,0.214524,0.185947,0.174603,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B3 foret,natdrug/y,63,0.174603,1.153682,0.214524,0.185947,0.174603,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natdrug/y,63,0.039683,1.153682,1.049413,0.909621,0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents composite,nateduc/y,63,0.142857,1.130047,0.411388,0.364045,0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),nateduc/y,63,0.166667,1.130047,0.214524,0.189836,0.166667,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents enquete,nateduc/y,63,0.142857,1.130047,0.415564,0.367740,0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),nateduc/y,63,0.174603,1.130047,0.129045,0.114194,0.174603,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v7,nateduc/y,63,0.166667,1.130047,0.129045,0.114194,0.166667,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v8,nateduc/y,63,0.182540,1.130047,0.000000,0.000000,0.182540,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C2,nateduc/y,63,0.063492,1.130047,0.958269,0.847990,0.000000,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C3,nateduc/y,63,0.079365,1.130047,0.804189,0.711642,0.079365,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 mode,nateduc/y,63,0.182540,1.130047,0.000000,0.000000,0.182540,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 tirage,nateduc/y,63,0.031746,1.130047,1.017223,0.900160,0.031746,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B1 argmax,nateduc/y,63,0.166667,1.130047,0.214524,0.189836,0.166667,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B2 argmax,nateduc/y,63,0.174603,1.130047,0.129045,0.114194,0.174603,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B3 foret,nateduc/y,63,0.182540,1.130047,0.000000,0.000000,0.182540,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
humains vague 2,nateduc/y,63,0.039683,1.130047,0.978455,0.865853,0.039683,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents composite,natrace/y,63,0.142857,1.291030,0.900280,0.697335,0.142857,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natrace/y,63,0.126984,1.291030,0.978909,0.758239,0.126984,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents enquete,natrace/y,63,0.182540,1.291030,0.723745,0.560595,0.182540,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natrace/y,63,0.111111,1.291030,0.913048,0.707225,0.111111,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents v7,natrace/y,63,0.214286,1.291030,0.538523,0.417127,0.214286,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents v8,natrace/y,63,0.246032,1.291030,0.257720,0.199623,0.246032,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
C2,natrace/y,63,0.126984,1.291030,0.929746,0.720158,-0.063492,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
C3,natrace/y,63,0.222222,1.291030,0.465166,0.360306,0.222222,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B0 mode,natrace/y,63,0.182540,1.291030,0.775654,0.600803,-0.119048,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natrace/y,63,0.087302,1.291030,1.493487,1.156818,-0.087302,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natrace/y,63,0.119048,1.291030,0.974461,0.754794,0.119048,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natrace/y,63,0.142857,1.291030,0.898891,0.696259,0.142857,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B3 foret,natrace/y,63,0.134921,1.291030,0.852687,0.660470,0.134921,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natrace/y,63,0.015873,1.291030,1.239227,0.959874,0.015873,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents composite,natarms/y,63,0.071429,1.226273,1.106073,0.901980,0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents entretien (v3),natarms/y,63,0.103175,1.226273,0.838079,0.683436,-0.103175,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents enquete,natarms/y,63,0.031746,1.226273,1.125326,0.917680,-0.015873,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents demographiques (v6),natarms/y,63,0.095238,1.226273,0.803308,0.655081,-0.095238,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents v7,natarms/y,63,0.150794,1.226273,0.591900,0.482682,-0.150794,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents v8,natarms/y,63,0.174603,1.226273,0.415564,0.338883,-0.174603,150,gauche,63,temoin,ordinal 3 et plus,attitude,
C2,natarms/y,63,0.039683,1.226273,0.944807,0.770471,-0.039683,150,gauche,63,temoin,ordinal 3 et plus,attitude,
C3,natarms/y,63,0.253968,1.226273,1.552633,1.266140,0.253968,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B0 mode,natarms/y,63,0.277778,1.226273,0.679577,0.554181,0.198413,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B0 tirage,natarms/y,63,0.134921,1.226273,1.470867,1.199462,0.134921,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B1 argmax,natarms/y,63,0.047619,1.226273,0.929746,0.758188,-0.047619,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B2 argmax,natarms/y,63,0.087302,1.226273,0.898891,0.733027,-0.087302,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B3 foret,natarms/y,63,0.142857,1.226273,0.603123,0.491834,-0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,
humains vague 2,natarms/y,63,0.031746,1.226273,1.292274,1.053822,0.031746,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents composite,nataid/y,63,0.126984,1.347129,1.556686,1.155558,0.126984,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents entretien (v3),nataid/y,63,0.103175,1.347129,1.269605,0.942452,-0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents enquete,nataid/y,63,0.388889,1.347129,1.478274,1.097351,0.388889,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents demographiques (v6),nataid/y,63,0.261905,1.347129,0.129045,0.095792,-0.261905,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents v7,nataid/y,63,0.269841,1.347129,1.559030,1.157298,0.269841,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents v8,nataid/y,63,0.531746,1.347129,1.156924,0.858807,0.531746,150,gauche,63,temoin,ordinal 3 et plus,attitude,
C2,nataid/y,63,0.380952,1.347129,0.894673,0.664133,0.380952,150,gauche,63,temoin,ordinal 3 et plus,attitude,
C3,nataid/y,63,0.674603,1.347129,0.538523,0.399756,0.674603,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B0 mode,nataid/y,63,0.269841,1.347129,0.000000,0.000000,-0.269841,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B0 tirage,nataid/y,63,0.023810,1.347129,1.330798,0.987877,0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B1 argmax,nataid/y,63,0.063492,1.347129,1.139256,0.845692,-0.063492,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B2 argmax,nataid/y,63,0.055556,1.347129,0.996678,0.739853,-0.055556,150,gauche,63,temoin,ordinal 3 et plus,attitude,
B3 foret,nataid/y,63,0.206349,1.347129,0.560559,0.416113,-0.206349,150,gauche,63,temoin,ordinal 3 et plus,attitude,
humains vague 2,nataid/y,63,0.063492,1.347129,1.342683,0.996699,0.047619,150,gauche,63,temoin,ordinal 3 et plus,attitude,
agents composite,natfare/y,63,0.007937,0.849180,0.879896,1.036171,-0.007937,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natfare/y,63,0.055556,0.849180,0.635628,0.748520,0.023810,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents enquete,natfare/y,63,0.063492,0.849180,0.480134,0.565409,0.063492,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natfare/y,63,0.079365,0.849180,0.352604,0.415229,0.079365,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents v7,natfare/y,63,0.015873,0.849180,0.767765,0.904125,0.015873,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents v8,natfare/y,63,0.055556,0.849180,0.538523,0.634168,0.055556,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
C2,natfare/y,63,0.222222,0.849180,1.151558,1.356082,-0.222222,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
C3,natfare/y,63,0.087302,0.849180,0.287645,0.338733,0.087302,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
