condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement,pole_endogroupe
agents enquete,pornlaw,45,0.122222,1.328029,0.691221,0.520487,-0.033333,150,centre,45,temoin,ordinal 3 et plus,attitude,
agents demographiques (v6),pornlaw,45,0.133333,1.328029,0.639600,0.481616,-0.044444,150,centre,45,temoin,ordinal 3 et plus,attitude,
agents v7,pornlaw,45,0.200000,1.328029,0.169772,0.127838,-0.111111,150,centre,45,temoin,ordinal 3 et plus,attitude,
agents v8,pornlaw,45,0.211111,1.328029,0.000000,0.000000,-0.122222,150,centre,45,temoin,ordinal 3 et plus,attitude,
C2,pornlaw,45,0.211111,1.328029,0.000000,0.000000,-0.122222,150,centre,45,temoin,ordinal 3 et plus,attitude,
C3,pornlaw,45,0.188889,1.328029,0.582539,0.438650,-0.188889,150,centre,45,temoin,ordinal 3 et plus,attitude,
B0 mode,pornlaw,45,0.211111,1.328029,0.000000,0.000000,-0.122222,150,centre,45,temoin,ordinal 3 et plus,attitude,
B0 tirage,pornlaw,45,0.044444,1.328029,1.068142,0.804307,0.022222,150,centre,45,temoin,ordinal 3 et plus,attitude,
B1 argmax,pornlaw,45,0.133333,1.328029,0.639600,0.481616,-0.044444,150,centre,45,temoin,ordinal 3 et plus,attitude,
B2 argmax,pornlaw,45,0.155556,1.328029,0.519288,0.391022,-0.066667,150,centre,45,temoin,ordinal 3 et plus,attitude,
B3 foret,pornlaw,45,0.200000,1.328029,0.169772,0.127838,-0.111111,150,centre,45,temoin,ordinal 3 et plus,attitude,
humains vague 2,pornlaw,45,0.033333,1.328029,1.204314,0.906843,0.033333,150,centre,45,temoin,ordinal 3 et plus,attitude,
agents composite,fair,45,0.066667,1.454932,1.415414,0.972838,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),fair,45,0.133333,1.454932,1.065575,0.732388,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents enquete,fair,45,0.055556,1.454932,1.308692,0.899487,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),fair,45,0.188889,1.454932,0.582539,0.400389,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v7,fair,45,0.288889,1.454932,1.219506,0.838188,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v8,fair,45,0.255556,1.454932,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C2,fair,45,0.622222,1.454932,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C3,fair,45,0.255556,1.454932,1.536524,1.056080,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 mode,fair,45,0.255556,1.454932,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 tirage,fair,45,0.088889,1.454932,1.551448,1.066337,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B1 argmax,fair,45,0.077778,1.454932,1.431641,0.983992,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B2 argmax,fair,45,0.133333,1.454932,1.041055,0.715535,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B3 foret,fair,45,0.111111,1.454932,1.304965,0.896925,,150,centre,45,non teste,ordinal 3 et plus,attitude,
humains vague 2,fair,45,0.011111,1.454932,1.493313,1.026380,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents composite,helpful,45,0.066667,1.569915,1.383704,0.881388,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),helpful,45,0.122222,1.569915,1.525251,0.971550,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents enquete,helpful,45,0.033333,1.569915,1.610453,1.025821,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),helpful,45,0.088889,1.569915,1.559510,0.993372,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v7,helpful,45,0.366667,1.569915,1.190998,0.758639,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v8,helpful,45,0.244444,1.569915,0.553699,0.352694,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C2,helpful,45,0.200000,1.569915,0.852671,0.543132,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C3,helpful,45,0.255556,1.569915,1.068142,0.680382,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 mode,helpful,45,0.288889,1.569915,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 tirage,helpful,45,0.055556,1.569915,1.602417,1.020703,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B1 argmax,helpful,45,0.022222,1.569915,1.601548,1.020150,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B2 argmax,helpful,45,0.122222,1.569915,1.229236,0.782995,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B3 foret,helpful,45,0.055556,1.569915,1.476250,0.940338,,150,centre,45,non teste,ordinal 3 et plus,attitude,
humains vague 2,helpful,45,0.033333,1.569915,1.553988,0.989855,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents composite,trust,45,0.044444,1.240586,1.409726,1.136339,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),trust,45,0.088889,1.240586,1.294176,1.043198,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents enquete,trust,45,0.155556,1.240586,1.573584,1.268420,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),trust,45,0.144444,1.240586,1.484825,1.196874,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v7,trust,45,0.422222,1.240586,1.375530,1.108775,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v8,trust,45,0.255556,1.240586,0.446639,0.360023,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C2,trust,45,0.200000,1.240586,0.691221,0.557173,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C3,trust,45,0.211111,1.240586,0.448780,0.361749,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 mode,trust,45,0.255556,1.240586,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 tirage,trust,45,0.200000,1.240586,1.601548,1.290961,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B1 argmax,trust,45,0.166667,1.240586,0.885029,0.713396,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B2 argmax,trust,45,0.088889,1.240586,0.934326,0.753133,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B3 foret,trust,45,0.233333,1.240586,0.278341,0.224363,,150,centre,45,non teste,ordinal 3 et plus,attitude,
humains vague 2,trust,45,0.011111,1.240586,1.157743,0.933223,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents composite,tax,45,0.133333,0.934326,0.986981,1.056356,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),tax,45,0.100000,0.934326,1.163580,1.245368,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents enquete,tax,45,0.111111,0.934326,1.162122,1.243808,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),tax,45,0.033333,0.934326,0.852671,0.912605,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v7,tax,45,0.188889,0.934326,0.883312,0.945400,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v8,tax,45,0.244444,0.934326,0.691221,0.739808,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C2,tax,45,0.266667,0.934326,0.582539,0.623486,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C3,tax,45,0.066667,0.934326,1.012822,1.084013,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 mode,tax,45,0.166667,0.934326,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 tirage,tax,45,0.111111,0.934326,1.162122,1.243808,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B1 argmax,tax,45,0.066667,0.934326,0.737958,0.789829,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B2 argmax,tax,45,0.011111,0.934326,0.910482,0.974480,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B3 foret,tax,45,0.133333,0.934326,0.369389,0.395354,,150,centre,45,non teste,ordinal 3 et plus,attitude,
humains vague 2,tax,45,0.033333,0.934326,1.110448,1.188502,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents composite,vote16,45,0.088889,1.409726,1.476250,1.047190,0.022222,150,centre,45,sensible,nominal,comportement,
agents entretien (v3),vote16,43,0.145220,1.409726,1.429218,1.013827,0.070284,150,centre,45,sensible,nominal,comportement,
agents enquete,vote16,45,0.111111,1.409726,1.012822,0.718453,0.022222,150,centre,45,sensible,nominal,comportement,
agents demographiques (v6),vote16,44,0.170707,1.409726,1.053301,0.747168,0.170707,150,centre,45,sensible,nominal,comportement,
agents v7,vote16,45,0.222222,1.409726,1.085041,0.769683,0.222222,150,centre,45,sensible,nominal,comportement,
agents v8,vote16,45,0.377778,1.409726,0.639600,0.453705,0.333333,150,centre,45,sensible,nominal,comportement,
C2,vote16,45,0.600000,1.409726,0.169772,0.120429,-0.488889,150,centre,45,sensible,nominal,comportement,
C3,vote16,45,0.533333,1.409726,0.448780,0.318346,-0.422222,150,centre,45,sensible,nominal,comportement,
B0 mode,vote16,45,0.488889,1.409726,0.000000,0.000000,0.488889,150,centre,45,sensible,nominal,comportement,
B0 tirage,vote16,45,0.111111,1.409726,1.185929,0.841248,0.111111,150,centre,45,sensible,nominal,comportement,
B1 argmax,vote16,45,0.111111,1.409726,1.285876,0.912146,0.111111,150,centre,45,sensible,nominal,comportement,
B2 argmax,vote16,45,0.422222,1.409726,0.369389,0.262029,0.422222,150,centre,45,sensible,nominal,comportement,
B3 foret,vote16,45,0.155556,1.409726,1.139192,0.808095,0.155556,150,centre,45,sensible,nominal,comportement,
humains vague 2,vote16,45,0.044444,1.409726,1.304965,0.925688,0.022222,150,centre,45,sensible,nominal,comportement,
agents composite,pres16,45,0.111111,1.751554,1.742264,0.994696,,150,centre,45,temoin,nominal,comportement,
agents entretien (v3),pres16,45,0.155556,1.751554,1.790917,1.022473,,150,centre,45,temoin,nominal,comportement,
agents enquete,pres16,44,0.080303,1.751554,1.863132,1.063702,,150,centre,45,temoin,nominal,comportement,
agents demographiques (v6),pres16,45,0.066667,1.751554,1.704431,0.973097,,150,centre,45,temoin,nominal,comportement,
agents v7,pres16,45,0.333333,1.751554,1.717426,0.980515,,150,centre,45,temoin,nominal,comportement,
agents v8,pres16,45,0.466667,1.751554,1.862457,1.063317,,150,centre,45,temoin,nominal,comportement,
C2,pres16,45,0.177778,1.751554,1.461533,0.834421,,150,centre,45,temoin,nominal,comportement,
C3,pres16,45,0.088889,1.751554,1.833487,1.046777,,150,centre,45,temoin,nominal,comportement,
B0 mode,pres16,45,0.777778,1.751554,0.000000,0.000000,,150,centre,45,temoin,nominal,comportement,
B0 tirage,pres16,45,0.155556,1.751554,1.824181,1.041464,,150,centre,45,temoin,nominal,comportement,
B1 argmax,pres16,45,0.044444,1.751554,1.751554,1.000000,,150,centre,45,temoin,nominal,comportement,
B2 argmax,pres16,45,0.244444,1.751554,1.601548,0.914358,,150,centre,45,temoin,nominal,comportement,
B3 foret,pres16,45,0.155556,1.751554,1.484825,0.847718,,150,centre,45,temoin,nominal,comportement,
humains vague 2,pres16,45,0.044444,1.751554,1.704431,0.973097,,150,centre,45,temoin,nominal,comportement,
agents composite,if16who,45,0.155556,1.610740,1.573584,0.976933,,150,centre,45,investiguer,nominal,comportement,
agents entretien (v3),if16who,45,0.177778,1.610740,1.542118,0.957397,,150,centre,45,investiguer,nominal,comportement,
agents enquete,if16who,45,0.266667,1.610740,1.383704,0.859049,,150,centre,45,investiguer,nominal,comportement,
agents demographiques (v6),if16who,45,0.400000,1.610740,1.124487,0.698118,,150,centre,45,investiguer,nominal,comportement,
agents v7,if16who,45,0.355556,1.610740,1.229236,0.763150,,150,centre,45,investiguer,nominal,comportement,
agents v8,if16who,45,0.111111,1.610740,1.553988,0.964767,,150,centre,45,investiguer,nominal,comportement,
C2,if16who,45,0.244444,1.610740,1.383704,0.859049,,150,centre,45,investiguer,nominal,comportement,
C3,if16who,45,0.111111,1.610740,1.542118,0.957397,,150,centre,45,investiguer,nominal,comportement,
B0 mode,if16who,45,0.688889,1.610740,0.000000,0.000000,,150,centre,45,investiguer,nominal,comportement,
B0 tirage,if16who,45,0.155556,1.610740,1.562185,0.969856,,150,centre,45,investiguer,nominal,comportement,
B1 argmax,if16who,45,0.088889,1.610740,1.573584,0.976933,,150,centre,45,investiguer,nominal,comportement,
B2 argmax,if16who,45,0.377778,1.610740,0.910482,0.565257,,150,centre,45,investiguer,nominal,comportement,
B3 foret,if16who,45,0.155556,1.610740,1.559510,0.968195,,150,centre,45,investiguer,nominal,comportement,
humains vague 2,if16who,45,0.044444,1.610740,1.614883,1.002573,,150,centre,45,investiguer,nominal,comportement,
agents composite,news,45,0.100000,1.962847,1.493313,0.760789,-0.077778,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents entretien (v3),news,45,0.122222,1.962847,1.704080,0.868168,-0.055556,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents enquete,news,45,0.333333,1.962847,1.383704,0.704947,0.266667,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents demographiques (v6),news,45,0.250000,1.962847,1.454932,0.741236,0.183333,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents v7,news,45,0.277778,1.962847,1.500075,0.764234,0.211111,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents v8,news,45,0.388889,1.962847,1.012367,0.515765,0.322222,150,centre,45,investiguer,ordinal 3 et plus,comportement,
C2,news,45,0.283333,1.962847,0.169772,0.086493,-0.027778,150,centre,45,investiguer,ordinal 3 et plus,comportement,
C3,news,45,0.144444,1.962847,1.372399,0.699188,-0.100000,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B0 mode,news,45,0.288889,1.962847,0.000000,0.000000,-0.288889,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B0 tirage,news,45,0.066667,1.962847,2.118123,1.079108,0.066667,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B1 argmax,news,45,0.127778,1.962847,1.444427,0.735884,-0.127778,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B2 argmax,news,45,0.205556,1.962847,0.886137,0.451455,-0.205556,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B3 foret,news,45,0.216667,1.962847,0.536924,0.273543,-0.216667,150,centre,45,investiguer,ordinal 3 et plus,comportement,
humains vague 2,news,45,0.038889,1.962847,2.036470,1.037508,0.027778,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents composite,jew,45,0.266667,1.321988,0.169772,0.128422,,150,centre,45,non teste,nominal,comportement,
agents entretien (v3),jew,45,0.288889,1.321988,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
agents enquete,jew,45,0.266667,1.321988,0.169772,0.128422,,150,centre,45,non teste,nominal,comportement,
agents demographiques (v6),jew,45,0.155556,1.321988,0.781483,0.591143,,150,centre,45,non teste,nominal,comportement,
agents v7,jew,45,0.288889,1.321988,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
agents v8,jew,45,0.266667,1.321988,0.169772,0.128422,,150,centre,45,non teste,nominal,comportement,
C2,jew,45,0.288889,1.321988,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
C3,jew,45,0.088889,1.321988,0.967303,0.731704,,150,centre,45,non teste,nominal,comportement,
B0 mode,jew,45,0.288889,1.321988,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
B0 tirage,jew,45,0.155556,1.321988,1.697629,1.284148,,150,centre,45,non teste,nominal,comportement,
B1 argmax,jew,45,0.200000,1.321988,0.448780,0.339474,,150,centre,45,non teste,nominal,comportement,
B2 argmax,jew,45,0.288889,1.321988,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
B3 foret,jew,45,0.288889,1.321988,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
humains vague 2,jew,45,0.066667,1.321988,0.979052,0.740591,,150,centre,45,non teste,nominal,comportement,
agents composite,relig16*,45,0.266667,2.001312,1.851333,0.925060,,150,centre,45,non teste,nominal,comportement,
agents entretien (v3),relig16*,43,0.273385,2.001312,1.887483,0.943123,,150,centre,45,non teste,nominal,comportement,
agents enquete,relig16*,45,0.533333,2.001312,1.805381,0.902099,,150,centre,45,non teste,nominal,comportement,
agents demographiques (v6),relig16*,44,0.144949,2.001312,2.022679,1.010676,,150,centre,45,non teste,nominal,comportement,
agents v7,relig16*,45,0.511111,2.001312,1.518848,0.758926,,150,centre,45,non teste,nominal,comportement,
agents v8,relig16*,45,0.555556,2.001312,1.226243,0.612720,,150,centre,45,non teste,nominal,comportement,
C2,relig16*,45,0.177778,2.001312,1.956741,0.977729,,150,centre,45,non teste,nominal,comportement,
C3,relig16*,45,0.800000,2.001312,0.169772,0.084830,,150,centre,45,non teste,nominal,comportement,
B0 mode,relig16*,45,0.822222,2.001312,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
B0 tirage,relig16*,45,0.200000,2.001312,2.120793,1.059702,,150,centre,45,non teste,nominal,comportement,
B1 argmax,relig16*,45,0.133333,2.001312,2.027251,1.012961,,150,centre,45,non teste,nominal,comportement,
B2 argmax,relig16*,45,0.333333,2.001312,1.812554,0.905683,,150,centre,45,non teste,nominal,comportement,
B3 foret,relig16*,45,0.177778,2.001312,1.982451,0.990576,,150,centre,45,non teste,nominal,comportement,
humains vague 2,relig16*,45,0.088889,2.001312,2.167580,1.083080,,150,centre,45,non teste,nominal,comportement,
agents composite,jew16*,45,0.200000,1.129831,0.169772,0.150263,,150,centre,45,non teste,nominal,comportement,
agents entretien (v3),jew16*,43,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
agents enquete,jew16*,45,0.111111,1.129831,0.886402,0.784544,,150,centre,45,non teste,nominal,comportement,
agents demographiques (v6),jew16*,44,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
agents v7,jew16*,45,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
agents v8,jew16*,45,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
C2,jew16*,45,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
C3,jew16*,45,0.133333,1.129831,0.536924,0.475225,,150,centre,45,non teste,nominal,comportement,
B0 mode,jew16*,45,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
B0 tirage,jew16*,45,0.044444,1.129831,1.219650,1.079498,,150,centre,45,non teste,nominal,comportement,
B1 argmax,jew16*,45,0.177778,1.129831,0.278341,0.246356,,150,centre,45,non teste,nominal,comportement,
B2 argmax,jew16*,45,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
B3 foret,jew16*,45,0.222222,1.129831,0.000000,0.000000,,150,centre,45,non teste,nominal,comportement,
humains vague 2,jew16*,45,0.044444,1.129831,0.900486,0.797009,,150,centre,45,non teste,nominal,comportement,
agents composite,attend,45,0.111111,2.556797,2.083470,0.814875,0.094444,150,centre,45,sensible,ordinal 3 et plus,comportement,
agents entretien (v3),attend,45,0.125000,2.556797,2.013639,0.787563,0.108333,150,centre,45,sensible,ordinal 3 et plus,comportement,
agents enquete,attend,45,0.058333,2.556797,1.739207,0.680229,-0.013889,150,centre,45,sensible,ordinal 3 et plus,comportement,
agents demographiques (v6),attend,45,0.052778,2.556797,1.783877,0.697700,0.008333,150,centre,45,sensible,ordinal 3 et plus,comportement,
agents v7,attend,45,0.183333,2.556797,0.809152,0.316471,-0.183333,150,centre,45,sensible,ordinal 3 et plus,comportement,
agents v8,attend,45,0.088889,2.556797,1.638234,0.640737,-0.055556,150,centre,45,sensible,ordinal 3 et plus,comportement,
C2,attend,45,0.183333,2.556797,0.906829,0.354674,-0.077778,150,centre,45,sensible,ordinal 3 et plus,comportement,
C3,attend,45,0.080556,2.556797,1.380219,0.539824,-0.025000,150,centre,45,sensible,ordinal 3 et plus,comportement,
B0 mode,attend,45,0.236111,2.556797,0.000000,0.000000,-0.236111,150,centre,45,sensible,ordinal 3 et plus,comportement,
B0 tirage,attend,45,0.027778,2.556797,2.395892,0.937068,-0.011111,150,centre,45,sensible,ordinal 3 et plus,comportement,
B1 argmax,attend,45,0.208333,2.556797,0.536924,0.209999,-0.208333,150,centre,45,sensible,ordinal 3 et plus,comportement,
B2 argmax,attend,45,0.169444,2.556797,0.536924,0.209999,-0.169444,150,centre,45,sensible,ordinal 3 et plus,comportement,
B3 foret,attend,45,0.236111,2.556797,0.000000,0.000000,-0.236111,150,centre,45,sensible,ordinal 3 et plus,comportement,
humains vague 2,attend,45,0.061111,2.556797,2.801580,1.095738,0.061111,150,centre,45,sensible,ordinal 3 et plus,comportement,
agents composite,pray,45,0.128889,2.203924,2.372221,1.076362,-0.128889,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents entretien (v3),pray,45,0.124444,2.203924,2.270321,1.030127,-0.106667,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents enquete,pray,45,0.217778,2.203924,2.195373,0.996120,-0.217778,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents demographiques (v6),pray,45,0.226667,2.203924,1.894845,0.859760,-0.226667,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents v7,pray,45,0.431111,2.203924,1.014897,0.460495,-0.431111,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents v8,pray,45,0.360000,2.203924,1.295784,0.587944,-0.342222,150,centre,45,investiguer,ordinal 3 et plus,comportement,
C2,pray,45,0.351111,2.203924,0.780234,0.354021,-0.217778,150,centre,45,investiguer,ordinal 3 et plus,comportement,
C3,pray,45,0.351111,2.203924,1.457390,0.661270,-0.351111,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B0 mode,pray,45,0.506667,2.203924,0.000000,0.000000,-0.506667,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B0 tirage,pray,45,0.053333,2.203924,2.543762,1.154196,-0.008889,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B1 argmax,pray,45,0.084444,2.203924,1.920937,0.871598,-0.075556,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B2 argmax,pray,45,0.226667,2.203924,1.171062,0.531353,-0.208889,150,centre,45,investiguer,ordinal 3 et plus,comportement,
B3 foret,pray,45,0.248889,2.203924,1.042040,0.472811,-0.248889,150,centre,45,investiguer,ordinal 3 et plus,comportement,
humains vague 2,pray,45,0.017778,2.203924,2.309712,1.048000,-0.017778,150,centre,45,investiguer,ordinal 3 et plus,comportement,
agents composite,postlife,45,0.066667,0.818383,0.910482,1.112537,,150,centre,45,non teste,binaire,attitude,
agents entretien (v3),postlife,45,0.000000,0.818383,0.818383,1.000000,,150,centre,45,non teste,binaire,attitude,
agents enquete,postlife,45,0.177778,0.818383,0.998504,1.220093,,150,centre,45,non teste,binaire,attitude,
agents demographiques (v6),postlife,45,0.244444,0.818383,1.015674,1.241073,,150,centre,45,non teste,binaire,attitude,
agents v7,postlife,45,0.444444,0.818383,0.910482,1.112537,,150,centre,45,non teste,binaire,attitude,
agents v8,postlife,45,0.244444,0.818383,1.015674,1.241073,,150,centre,45,non teste,binaire,attitude,
C2,postlife,45,0.244444,0.818383,0.000000,0.000000,,150,centre,45,non teste,binaire,attitude,
C3,postlife,45,0.311111,0.818383,1.007106,1.230604,,150,centre,45,non teste,binaire,attitude,
B0 mode,postlife,45,0.244444,0.818383,0.000000,0.000000,,150,centre,45,non teste,binaire,attitude,
B0 tirage,postlife,45,0.044444,0.818383,0.737958,0.901727,,150,centre,45,non teste,binaire,attitude,
B1 argmax,postlife,45,0.222222,0.818383,0.169772,0.207448,,150,centre,45,non teste,binaire,attitude,
B2 argmax,postlife,45,0.066667,0.818383,0.691221,0.844618,,150,centre,45,non teste,binaire,attitude,
B3 foret,postlife,45,0.222222,0.818383,0.169772,0.207448,,150,centre,45,non teste,binaire,attitude,
humains vague 2,postlife,45,0.044444,0.818383,0.737958,0.901727,,150,centre,45,non teste,binaire,attitude,
agents composite,bible,45,0.211111,1.608448,1.240586,0.771294,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),bible,44,0.181313,1.608448,1.304019,0.810731,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents enquete,bible,45,0.244444,1.608448,1.162122,0.722512,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),bible,45,0.311111,1.608448,0.998504,0.620787,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v7,bible,45,0.222222,1.608448,0.691221,0.429744,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents v8,bible,45,0.300000,1.608448,0.169772,0.105550,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C2,bible,45,0.311111,1.608448,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
C3,bible,45,0.311111,1.608448,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 mode,bible,45,0.311111,1.608448,0.000000,0.000000,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B0 tirage,bible,45,0.111111,1.608448,1.518609,0.944146,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B1 argmax,bible,45,0.155556,1.608448,1.237623,0.769452,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B2 argmax,bible,45,0.211111,1.608448,1.457390,0.906085,,150,centre,45,non teste,ordinal 3 et plus,attitude,
B3 foret,bible,45,0.155556,1.608448,1.159719,0.721018,,150,centre,45,non teste,ordinal 3 et plus,attitude,
humains vague 2,bible,45,0.044444,1.608448,1.559510,0.969575,,150,centre,45,non teste,ordinal 3 et plus,attitude,
agents composite,reborn,45,0.088889,1.610453,1.597656,0.992054,0.107280,150,centre,45,investiguer,nominal,comportement,
agents entretien (v3),reborn,45,0.044444,1.610453,1.610740,1.000178,0.003337,150,centre,45,investiguer,nominal,comportement,
agents enquete,reborn,45,0.155556,1.610453,1.464825,0.909573,-0.208276,150,centre,45,investiguer,nominal,comportement,
agents demographiques (v6),reborn,45,0.266667,1.610453,1.242495,0.771519,-0.271805,150,centre,45,investiguer,nominal,comportement,
agents v7,reborn,45,0.355556,1.610453,1.186996,0.737057,-0.268789,150,centre,45,investiguer,nominal,comportement,
agents v8,reborn,45,0.622222,1.610453,0.169772,0.105419,-0.426054,150,centre,45,investiguer,nominal,comportement,
C2,reborn,45,0.533333,1.610453,0.519288,0.322449,-0.448276,150,centre,45,investiguer,nominal,comportement,
C3,reborn,45,0.577778,1.610453,0.369389,0.229370,-0.448276,150,centre,45,investiguer,nominal,comportement,
B0 mode,reborn,45,0.644444,1.610453,0.000000,0.000000,-0.448276,150,centre,45,investiguer,nominal,comportement,
B0 tirage,reborn,45,0.111111,1.610453,1.559510,0.968368,-0.104526,150,centre,45,investiguer,nominal,comportement,
B1 argmax,reborn,45,0.311111,1.610453,1.274006,0.791086,-0.217507,150,centre,45,investiguer,nominal,comportement,
B2 argmax,reborn,45,0.066667,1.610453,1.569915,0.974829,-0.063660,150,centre,45,investiguer,nominal,comportement,
B3 foret,reborn,45,0.266667,1.610453,1.342369,0.833535,-0.271805,150,centre,45,investiguer,nominal,comportement,
humains vague 2,reborn,45,0.044444,1.610453,1.597656,0.992054,-0.048276,150,centre,45,investiguer,nominal,comportement,
agents composite,savesoul,45,0.133333,0.852671,0.986981,1.157517,0.133333,150,centre,45,investiguer,binaire,comportement,
agents entretien (v3),savesoul,45,0.000000,0.852671,0.852671,1.000000,0.000000,150,centre,45,investiguer,binaire,comportement,
