modele,cle_modele,identite,camp,item,famille,n_modalites,tv_decrit_reel,tv_plancher_w1_w2,part_modale_reelle,modalite_modale_reelle,part_decrite_de_cette_modalite,part_modale_decrite,gs_decrit,gs_reel_w1,pos_decrit,pos_reel_w1,derive_agregee,exces_de_variete,deficit_sur_la_modale
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,hunt1,hors famille,4,0.8496402877697842,0.021582733812949714,0.9496402877697842,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.1,0.4,0.7,0.09701591244989627,,,,0.6029840875501037,-0.8496402877697842
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,hunt1,hors famille,4,0.8496402877697842,0.021582733812949714,0.9496402877697842,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.1,0.45,0.675,0.09701591244989627,,,,0.5779840875501038,-0.8496402877697842
gpt-oss-20b,oss20,journaliste,gauche,if16who,hors famille,3,0.8448441247002398,0.007194244604316551,0.829736211031175,Clinton,0.05,0.9,0.18500000000000005,0.2952458177343018,,,,-0.11024581773430175,-0.779736211031175
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,fucitzn,hors famille,5,0.835611510791367,0.007194244604316462,0.9856115107913668,Inapplicable (I am already a U.S. citizen),0.15,0.35,0.76,0.028500940254990503,,,,0.7314990597450095,-0.8356115107913668
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,fucitzn,hors famille,5,0.8356115107913669,0.007194244604316462,0.9856115107913668,Inapplicable (I am already a U.S. citizen),0.15,0.3,0.775,0.028500940254990503,,,,0.7464990597450095,-0.8356115107913668
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,jew,hors famille,5,0.8352517985611511,0.021582733812949624,0.7889688249400479,Inapplicable (not Jewish),0.05,0.4,0.705,0.35444450195239496,,,,0.350555498047605,-0.7389688249400479
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,jew,hors famille,5,0.8352517985611511,0.021582733812949624,0.7889688249400479,Inapplicable (not Jewish),0.05,0.5,0.645,0.35444450195239496,,,,0.29055549804760505,-0.7389688249400479
Qwen3-4B-Instruct-2507,q4,adversaire,droite,union1,hors famille,4,0.8277108433734941,0.006024096385542111,0.927710843373494,"Neither belongs (You don't belong, if you don't have a spouse/partner)",0.1,0.65,0.5349999999999999,0.13732036580055162,,,,0.3976796341994483,-0.827710843373494
Qwen3-4B-Instruct-2507,q4,journaliste,droite,union1,hors famille,4,0.8277108433734941,0.006024096385542111,0.927710843373494,"Neither belongs (You don't belong, if you don't have a spouse/partner)",0.1,0.65,0.5349999999999999,0.13732036580055162,,,,0.3976796341994483,-0.827710843373494
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,jew16*,hors famille,5,0.8232613908872901,0.023980815347721826,0.8033573141486811,Inapplicable (not raised as a Jew),0.05,0.4,0.705,0.33779019949508016,,,,0.3672098005049198,-0.753357314148681
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,jew16*,hors famille,5,0.8232613908872901,0.023980815347721826,0.8033573141486811,Inapplicable (not raised as a Jew),0.05,0.35,0.72,0.33779019949508016,,,,0.3822098005049198,-0.753357314148681
Qwen3-4B-Instruct-2507,q4,adversaire,centre,jew16*,hors famille,5,0.8141914191419142,0.05610561056105612,0.693069306930693,Inapplicable (not raised as a Jew),0.05,0.4,0.705,0.468211177553399,,,,0.23678882244660093,-0.643069306930693
Qwen3-4B-Instruct-2507,q4,journaliste,centre,jew,hors famille,5,0.8141914191419142,0.08580858085808578,0.6534653465346535,Inapplicable (not Jewish),0.05,0.4,0.705,0.5021729895761853,,,,0.20282701042381468,-0.6034653465346534
Qwen3-4B-Instruct-2507,q4,journaliste,centre,jew16*,hors famille,5,0.8141914191419142,0.05610561056105612,0.693069306930693,Inapplicable (not raised as a Jew),0.05,0.4,0.705,0.468211177553399,,,,0.23678882244660093,-0.643069306930693
Qwen3-4B-Instruct-2507,q4,journaliste,centre,spjew,hors famille,5,0.8070957095709571,0.052805280528052834,0.7029702970297029,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.05,0.4,0.715,0.4401093574704006,,,,0.2748906425295994,-0.6529702970297029
Qwen3-4B-Instruct-2507,q4,adversaire,centre,spjew,hors famille,5,0.8070957095709571,0.052805280528052834,0.7029702970297029,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.05,0.4,0.715,0.4401093574704006,,,,0.2748906425295994,-0.6529702970297029
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,gauche,jew16*,hors famille,5,0.8033573141486812,0.023980815347721826,0.8033573141486811,Inapplicable (not raised as a Jew),0.0,0.5,0.635,0.33779019949508016,,,,0.29720980050491985,-0.8033573141486811
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,union1,hors famille,4,0.7992805755395684,0.014388489208633056,0.8992805755395683,"Neither belongs (You don't belong, if you don't have a spouse/partner)",0.1,0.45,0.6849999999999999,0.1864292738471095,,,,0.49857072615289044,-0.7992805755395683
Qwen3-4B-Instruct-2507,q4,journaliste,centre,hunt1,hors famille,4,0.7976897689768977,0.016501650165016493,0.8976897689768977,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.1,0.45,0.675,0.19009029615832873,,,,0.4849097038416713,-0.7976897689768977
Qwen3-4B-Instruct-2507,q4,adversaire,centre,hunt1,hors famille,4,0.7976897689768977,0.016501650165016493,0.8976897689768977,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.1,0.45,0.675,0.19009029615832873,,,,0.4849097038416713,-0.7976897689768977
gpt-oss-20b,oss20,journaliste,gauche,fucitzn,hors famille,5,0.7904076738609113,0.007194244604316462,0.9856115107913668,Inapplicable (I am already a U.S. citizen),0.2,0.7,0.4650000000000001,0.028500940254990503,,,,0.4364990597450096,-0.7856115107913668
gpt-oss-20b,oss20,adversaire,gauche,jew16*,hors famille,5,0.7732613908872901,0.023980815347721826,0.8033573141486811,Inapplicable (not raised as a Jew),0.05,0.7,0.4850000000000001,0.33779019949508016,,,,0.14720980050491994,-0.753357314148681
gpt-oss-20b,oss20,journaliste,gauche,jew16*,hors famille,5,0.7732613908872901,0.023980815347721826,0.8033573141486811,Inapplicable (not raised as a Jew),0.05,0.7,0.4850000000000001,0.33779019949508016,,,,0.14720980050491994,-0.753357314148681
Qwen3-4B-Instruct-2507,q4,adversaire,centre,jew,hors famille,5,0.7641914191419141,0.08580858085808578,0.6534653465346535,Inapplicable (not Jewish),0.05,0.45,0.685,0.5021729895761853,,,,0.18282701042381477,-0.6034653465346534
Qwen3-4B-Instruct-2507,q4,journaliste,droite,nataid/y,depenses publiques (nat*),3,0.7584337349397592,0.018072289156626453,0.858433734939759,Too much,0.1,0.58,0.5512,0.2487117143271882,0.26,0.9171686746987951,0.317966,0.30248828567281183,-0.7584337349397591
