retrait,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
conmedic,B2 argmax,ratio_entropie,0.536452,0.564591,11,65,-0.028138,-0.220224,0.155799,0.769223
conmedic,B3 foret,distance,0.171111,0.158846,11,65,0.012265,-0.042499,0.070384,0.631837
conmedic,B3 foret,ratio_entropie,0.483409,0.455807,11,65,0.027601,-0.180260,0.229324,0.789521
conmedic,C2,distance,0.251035,0.210103,11,65,0.040933,-0.053881,0.145896,0.426457
conmedic,C2,ratio_entropie,0.846787,0.653068,11,65,0.193719,-0.180551,0.713007,0.175082
conmedic,C3,distance,0.260429,0.210308,11,65,0.050122,-0.050511,0.162674,0.365263
conmedic,C3,ratio_entropie,0.843447,0.693007,11,65,0.150440,-0.163414,0.583402,0.298170
conmedic,agents composite,distance,0.130477,0.074561,11,65,0.055917,-0.001655,0.126004,0.015698
conmedic,agents composite,ratio_entropie,0.934229,0.918357,11,65,0.015873,-0.218821,0.318261,0.819218
conmedic,agents demographiques (v6),distance,0.189319,0.151278,11,65,0.038042,-0.034217,0.116912,0.260174
conmedic,agents demographiques (v6),ratio_entropie,0.478352,0.594463,11,65,-0.116111,-0.319050,0.078298,0.273673
conmedic,agents enquete,distance,0.149747,0.094807,11,65,0.054940,0.002086,0.118462,0.012299
conmedic,agents enquete,ratio_entropie,0.645333,0.886792,11,65,-0.241459,-0.422127,-0.093314,0.005199
conmedic,agents entretien (v3),distance,0.175519,0.091066,11,65,0.084453,0.019846,0.160151,0.001800
conmedic,agents entretien (v3),ratio_entropie,0.576090,0.884885,11,65,-0.308795,-0.538410,-0.081209,0.000300
conmedic,agents v7,distance,0.204089,0.165317,11,65,0.038771,-0.030207,0.115490,0.206079
conmedic,agents v7,ratio_entropie,0.461694,0.607700,11,65,-0.146006,-0.320026,0.021385,0.093891
conmedic,agents v8,distance,0.169996,0.117462,11,65,0.052534,-0.021553,0.134983,0.093491
conmedic,agents v8,ratio_entropie,0.571038,0.819892,11,65,-0.248854,-0.498688,-0.009972,0.024298
conmedic,humains vague 2,distance,0.021995,0.026735,11,65,-0.004740,-0.014296,0.007081,0.425257
conmedic,humains vague 2,ratio_entropie,0.981281,1.003578,11,65,-0.022298,-0.052949,0.007766,0.314669
natchld,B0 mode,distance,0.265051,0.284026,11,65,-0.018975,-0.091274,0.050610,0.672533
natchld,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.210652,0.068893
natchld,B0 tirage,distance,0.040631,0.045479,11,65,-0.004847,-0.020251,0.011978,0.650535
natchld,B0 tirage,ratio_entropie,0.962722,0.982040,11,65,-0.019318,-0.068850,0.034300,0.545345
natchld,B1 argmax,distance,0.117854,0.104308,11,65,0.013546,-0.027817,0.062639,0.439756
natchld,B1 argmax,ratio_entropie,0.661090,0.689480,11,65,-0.028390,-0.217801,0.139606,0.738126
natchld,B2 argmax,distance,0.152096,0.135744,11,65,0.016352,-0.038218,0.079969,0.528347
natchld,B2 argmax,ratio_entropie,0.548032,0.564591,11,65,-0.016559,-0.215521,0.171091,0.865913
natchld,B3 foret,distance,0.163838,0.158846,11,65,0.004992,-0.051954,0.064593,0.847915
natchld,B3 foret,ratio_entropie,0.495715,0.455807,11,65,0.039908,-0.172619,0.246014,0.705529
natchld,C2,distance,0.262854,0.210103,11,65,0.052751,-0.036296,0.150858,0.299370
natchld,C2,ratio_entropie,0.819776,0.653068,11,65,0.166708,-0.211384,0.695060,0.246975
natchld,C3,distance,0.257399,0.210308,11,65,0.047091,-0.051707,0.160050,0.403060
natchld,C3,ratio_entropie,0.890980,0.693007,11,65,0.197974,-0.096899,0.617078,0.172583
natchld,agents composite,distance,0.138053,0.074561,11,65,0.063493,0.009431,0.131108,0.006499
natchld,agents composite,ratio_entropie,0.915852,0.918357,11,65,-0.002504,-0.234982,0.302279,0.973303
natchld,agents demographiques (v6),distance,0.200834,0.151278,11,65,0.049557,-0.023923,0.130614,0.142086
natchld,agents demographiques (v6),ratio_entropie,0.431740,0.594463,11,65,-0.162723,-0.372580,0.041430,0.131187
natchld,agents enquete,distance,0.149141,0.094807,11,65,0.054334,0.001416,0.118131,0.012399
natchld,agents enquete,ratio_entropie,0.643151,0.886792,11,65,-0.243641,-0.423474,-0.094194,0.003700
natchld,agents entretien (v3),distance,0.170670,0.091066,11,65,0.079605,0.012829,0.158157,0.002000
natchld,agents entretien (v3),ratio_entropie,0.555090,0.884885,11,65,-0.329795,-0.544627,-0.124695,0.000500
natchld,agents v7,distance,0.210149,0.165317,11,65,0.044832,-0.026009,0.119578,0.139186
natchld,agents v7,ratio_entropie,0.449345,0.607700,11,65,-0.158354,-0.328368,0.008617,0.068993
natchld,agents v8,distance,0.183026,0.117462,11,65,0.065564,-0.009178,0.147204,0.036096
natchld,agents v8,ratio_entropie,0.494834,0.819892,11,65,-0.325058,-0.548047,-0.102962,0.003900
natchld,humains vague 2,distance,0.022298,0.026735,11,65,-0.004437,-0.014349,0.007283,0.454855
natchld,humains vague 2,ratio_entropie,0.981562,1.003578,11,65,-0.022016,-0.052384,0.007845,0.320068
natrace/y,B0 mode,distance,0.272626,0.284026,11,65,-0.011399,-0.081636,0.054483,0.797920
natrace/y,B0 mode,ratio_entropie,0.049067,0.018466,11,65,0.030600,-0.040723,0.139862,0.268173
natrace/y,B0 tirage,distance,0.039722,0.045479,11,65,-0.005756,-0.021606,0.011432,0.585541
natrace/y,B0 tirage,ratio_entropie,0.961840,0.982040,11,65,-0.020201,-0.069196,0.032708,0.529147
natrace/y,B1 argmax,distance,0.123005,0.104308,11,65,0.018697,-0.019428,0.066701,0.272773
natrace/y,B1 argmax,ratio_entropie,0.640910,0.689480,11,65,-0.048569,-0.229963,0.106627,0.544246
natrace/y,B2 argmax,distance,0.154520,0.135744,11,65,0.018777,-0.035365,0.082683,0.472453
natrace/y,B2 argmax,ratio_entropie,0.520035,0.564591,11,65,-0.044556,-0.227895,0.127320,0.632637
natrace/y,B3 foret,distance,0.171717,0.158846,11,65,0.012871,-0.039834,0.069999,0.605339
natrace/y,B3 foret,ratio_entropie,0.462097,0.455807,11,65,0.006290,-0.190354,0.191560,0.954905
natrace/y,C2,distance,0.259217,0.210103,11,65,0.049115,-0.042439,0.150799,0.333567
natrace/y,C2,ratio_entropie,0.817625,0.653068,11,65,0.164557,-0.208538,0.691564,0.250375
natrace/y,C3,distance,0.251035,0.210308,11,65,0.040728,-0.059794,0.152149,0.469253
natrace/y,C3,ratio_entropie,0.858400,0.693007,11,65,0.165393,-0.143382,0.612599,0.255474
natrace/y,agents composite,distance,0.128712,0.074561,11,65,0.054151,-0.003375,0.123725,0.015098
natrace/y,agents composite,ratio_entropie,0.923902,0.918357,11,65,0.005545,-0.235300,0.314038,0.935406
natrace/y,agents demographiques (v6),distance,0.193071,0.151278,11,65,0.041794,-0.030492,0.121288,0.225277
natrace/y,agents demographiques (v6),ratio_entropie,0.424149,0.594463,11,65,-0.170314,-0.373943,0.033877,0.113689
natrace/y,agents enquete,distance,0.145808,0.094807,11,65,0.051001,-0.002201,0.115497,0.021598
natrace/y,agents enquete,ratio_entropie,0.630149,0.886792,11,65,-0.256644,-0.428457,-0.113227,0.002700
natrace/y,agents entretien (v3),distance,0.170064,0.091066,11,65,0.078999,0.010258,0.154012,0.003500
natrace/y,agents entretien (v3),ratio_entropie,0.569149,0.884885,11,65,-0.315736,-0.538050,-0.096089,0.000600
natrace/y,agents v7,distance,0.192573,0.165317,11,65,0.027256,-0.037900,0.101179,0.365463
natrace/y,agents v7,ratio_entropie,0.464774,0.607700,11,65,-0.142926,-0.316818,0.027453,0.097290
natrace/y,agents v8,distance,0.180602,0.117462,11,65,0.063140,-0.010285,0.145977,0.043896
natrace/y,agents v8,ratio_entropie,0.510114,0.819892,11,65,-0.309778,-0.543076,-0.066557,0.006999
natrace/y,humains vague 2,distance,0.022601,0.026735,11,65,-0.004134,-0.013833,0.007322,0.492851
natrace/y,humains vague 2,ratio_entropie,0.980423,1.003578,11,65,-0.023155,-0.054000,0.007990,0.297470
natroad,B0 mode,distance,0.264747,0.284026,11,65,-0.019278,-0.091183,0.050777,0.674333
natroad,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.210333,0.072393
natroad,B0 tirage,distance,0.038207,0.045479,11,65,-0.007272,-0.023183,0.010601,0.485451
natroad,B0 tirage,ratio_entropie,0.955115,0.982040,11,65,-0.026926,-0.071524,0.020808,0.402260
natroad,B1 argmax,distance,0.115429,0.104308,11,65,0.011122,-0.031631,0.061499,0.533847
natroad,B1 argmax,ratio_entropie,0.664699,0.689480,11,65,-0.024780,-0.215454,0.137780,0.766123
natroad,B2 argmax,distance,0.148763,0.135744,11,65,0.013019,-0.041250,0.077339,0.612839
natroad,B2 argmax,ratio_entropie,0.553360,0.564591,11,65,-0.011231,-0.209198,0.175311,0.902010
natroad,B3 foret,distance,0.164444,0.158846,11,65,0.005598,-0.050780,0.066841,0.827017
natroad,B3 foret,ratio_entropie,0.490303,0.455807,11,65,0.034495,-0.175400,0.247366,0.741626
natroad,C2,distance,0.251944,0.210103,11,65,0.041842,-0.051624,0.147740,0.423158
natroad,C2,ratio_entropie,0.803940,0.653068,11,65,0.150872,-0.216793,0.651142,0.300770
natroad,C3,distance,0.267399,0.210308,11,65,0.057091,-0.039725,0.165724,0.290871
natroad,C3,ratio_entropie,0.841791,0.693007,11,65,0.148784,-0.163909,0.587623,0.308569
natroad,agents composite,distance,0.133811,0.074561,11,65,0.059250,0.003256,0.127340,0.009799
natroad,agents composite,ratio_entropie,0.922073,0.918357,11,65,0.003716,-0.225365,0.303028,0.958604
natroad,agents demographiques (v6),distance,0.201743,0.151278,11,65,0.050466,-0.023665,0.129342,0.141386
natroad,agents demographiques (v6),ratio_entropie,0.408821,0.594463,11,65,-0.185642,-0.383222,0.005507,0.083092
natroad,agents enquete,distance,0.147020,0.094807,11,65,0.052213,0.000645,0.117010,0.017598
natroad,agents enquete,ratio_entropie,0.636783,0.886792,11,65,-0.250010,-0.426528,-0.103029,0.003400
natroad,agents entretien (v3),distance,0.164307,0.091066,11,65,0.073241,0.005061,0.150816,0.006099
natroad,agents entretien (v3),ratio_entropie,0.590953,0.884885,11,65,-0.293932,-0.528109,-0.065302,0.001300
natroad,agents v7,distance,0.216041,0.165317,11,65,0.050724,-0.014846,0.122612,0.090491
natroad,agents v7,ratio_entropie,0.427774,0.607700,11,65,-0.179926,-0.334162,-0.035500,0.032397
natroad,agents v8,distance,0.183329,0.117462,11,65,0.065867,-0.007203,0.147671,0.036296
natroad,agents v8,ratio_entropie,0.521513,0.819892,11,65,-0.298379,-0.542682,-0.058980,0.007399
natroad,humains vague 2,distance,0.020783,0.026735,11,65,-0.005952,-0.015208,0.005744,0.312969
natroad,humains vague 2,ratio_entropie,0.975225,1.003578,11,65,-0.028353,-0.057602,-0.000715,0.196480
xmarsex,B0 mode,distance,0.266667,0.284026,11,65,-0.017359,-0.088985,0.052215,0.696030
xmarsex,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.210652,0.066393
xmarsex,B0 tirage,distance,0.039621,0.045479,11,65,-0.005857,-0.021387,0.011936,0.574643
xmarsex,B0 tirage,ratio_entropie,0.967448,0.982040,11,65,-0.014592,-0.065273,0.040323,0.649735
xmarsex,B1 argmax,distance,0.114621,0.104308,11,65,0.010314,-0.032108,0.059840,0.564744
xmarsex,B1 argmax,ratio_entropie,0.671498,0.689480,11,65,-0.017982,-0.208737,0.151767,0.831117
xmarsex,B2 argmax,distance,0.156742,0.135744,11,65,0.020999,-0.032096,0.083507,0.410459
xmarsex,B2 argmax,ratio_entropie,0.534098,0.564591,11,65,-0.030492,-0.217576,0.148196,0.745025
xmarsex,B3 foret,distance,0.160909,0.158846,11,65,0.002063,-0.054983,0.062662,0.934007
xmarsex,B3 foret,ratio_entropie,0.507218,0.455807,11,65,0.051411,-0.161621,0.255796,0.625637
xmarsex,C2,distance,0.245379,0.210103,11,65,0.035276,-0.058906,0.140177,0.497150
xmarsex,C2,ratio_entropie,0.829848,0.653068,11,65,0.176780,-0.192542,0.689131,0.221078
xmarsex,C3,distance,0.243864,0.210308,11,65,0.033556,-0.062945,0.150441,0.540746
xmarsex,C3,ratio_entropie,0.838559,0.693007,11,65,0.145553,-0.161462,0.606830,0.304670
xmarsex,agents composite,distance,0.126538,0.074561,11,65,0.051977,-0.003623,0.123760,0.019898
xmarsex,agents composite,ratio_entropie,0.969564,0.918357,11,65,0.051207,-0.168933,0.339638,0.455054
xmarsex,agents demographiques (v6),distance,0.198410,0.151278,11,65,0.047133,-0.028098,0.126349,0.172683
xmarsex,agents demographiques (v6),ratio_entropie,0.447570,0.594463,11,65,-0.146893,-0.356030,0.061835,0.178382
xmarsex,agents enquete,distance,0.150455,0.094807,11,65,0.055648,0.003297,0.120245,0.011099
xmarsex,agents enquete,ratio_entropie,0.646409,0.886792,11,65,-0.240384,-0.422868,-0.089997,0.004400
xmarsex,agents entretien (v3),distance,0.165418,0.091066,11,65,0.074352,0.006721,0.153217,0.004700
xmarsex,agents entretien (v3),ratio_entropie,0.619208,0.884885,11,65,-0.265677,-0.504591,-0.040131,0.003200
xmarsex,agents v7,distance,0.209341,0.165317,11,65,0.044024,-0.024248,0.119948,0.151685
xmarsex,agents v7,ratio_entropie,0.457569,0.607700,11,65,-0.150131,-0.321018,0.021452,0.076092
xmarsex,agents v8,distance,0.188784,0.117462,11,65,0.071322,0.000626,0.149322,0.023198
xmarsex,agents v8,ratio_entropie,0.503248,0.819892,11,65,-0.316644,-0.547742,-0.081855,0.005699
xmarsex,humains vague 2,distance,0.021894,0.026735,11,65,-0.004841,-0.014653,0.006813,0.427257
xmarsex,humains vague 2,ratio_entropie,0.986456,1.003578,11,65,-0.017122,-0.046161,0.010886,0.437656
