retrait,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
spkrac/y,agents v8,distance,0.152420,0.117462,11,65,0.034958,-0.023352,0.102071,0.247075
spkrac/y,agents v8,ratio_entropie,0.596901,0.819892,11,65,-0.222991,-0.454830,0.000005,0.041896
spkrac/y,humains vague 2,distance,0.023510,0.026735,11,65,-0.003225,-0.012685,0.007739,0.593941
spkrac/y,humains vague 2,ratio_entropie,0.979289,1.003578,11,65,-0.024289,-0.054351,0.005657,0.272873
polabuse/y,B0 mode,distance,0.282626,0.284026,11,65,-0.001399,-0.059525,0.058148,0.976002
polabuse/y,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.210652,0.068693
polabuse/y,B0 tirage,distance,0.041237,0.045479,11,65,-0.004241,-0.018850,0.012896,0.678632
polabuse/y,B0 tirage,ratio_entropie,0.971322,0.982040,11,65,-0.010719,-0.061770,0.042779,0.742226
polabuse/y,B1 argmax,distance,0.119672,0.104308,11,65,0.015364,-0.025567,0.065647,0.362764
polabuse/y,B1 argmax,ratio_entropie,0.733590,0.689480,11,65,0.044111,-0.084075,0.169031,0.570843
polabuse/y,B2 argmax,distance,0.157551,0.135744,11,65,0.021807,-0.030287,0.083586,0.396460
polabuse/y,B2 argmax,ratio_entropie,0.607280,0.564591,11,65,0.042690,-0.124286,0.200560,0.636936
polabuse/y,B3 foret,distance,0.170808,0.158846,11,65,0.011962,-0.041414,0.071319,0.636236
polabuse/y,B3 foret,ratio_entropie,0.551241,0.455807,11,65,0.095434,-0.099142,0.278027,0.350065
polabuse/y,C2,distance,0.231035,0.210103,11,65,0.020933,-0.065746,0.123091,0.686231
polabuse/y,C2,ratio_entropie,0.618661,0.653068,11,65,-0.034407,-0.239024,0.151602,0.772923
polabuse/y,C3,distance,0.253157,0.210308,11,65,0.042849,-0.055749,0.155149,0.437856
polabuse/y,C3,ratio_entropie,0.660185,0.693007,11,65,-0.032822,-0.189973,0.119904,0.787021
polabuse/y,agents composite,distance,0.128962,0.074561,11,65,0.054402,-0.001680,0.123684,0.017098
polabuse/y,agents composite,ratio_entropie,0.813872,0.918357,11,65,-0.104485,-0.250514,0.024874,0.068393
polabuse/y,agents demographiques (v6),distance,0.209925,0.151278,11,65,0.058648,-0.012375,0.133271,0.084092
polabuse/y,agents demographiques (v6),ratio_entropie,0.458958,0.594463,11,65,-0.135504,-0.346477,0.069212,0.203880
polabuse/y,agents enquete,distance,0.154899,0.094807,11,65,0.060092,0.012842,0.122488,0.006099
polabuse/y,agents enquete,ratio_entropie,0.664403,0.886792,11,65,-0.222389,-0.403226,-0.074794,0.006099
polabuse/y,agents entretien (v3),distance,0.174913,0.091066,11,65,0.083847,0.017674,0.160922,0.002200
polabuse/y,agents entretien (v3),ratio_entropie,0.661293,0.884885,11,65,-0.223592,-0.431614,-0.016017,0.007999
polabuse/y,agents v7,distance,0.217426,0.165317,11,65,0.052109,-0.011521,0.123598,0.081592
polabuse/y,agents v7,ratio_entropie,0.493535,0.607700,11,65,-0.114165,-0.284657,0.046917,0.180282
polabuse/y,agents v8,distance,0.186966,0.117462,11,65,0.069504,-0.003256,0.150020,0.027497
polabuse/y,agents v8,ratio_entropie,0.596901,0.819892,11,65,-0.222991,-0.454453,0.001020,0.041496
polabuse/y,humains vague 2,distance,0.023510,0.026735,11,65,-0.003225,-0.012560,0.007985,0.581242
polabuse/y,humains vague 2,ratio_entropie,0.986467,1.003578,11,65,-0.017111,-0.045934,0.010305,0.445555
polattak/y,B0 mode,distance,0.251717,0.284026,11,65,-0.032308,-0.097619,0.032990,0.459154
polattak/y,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.205247,0.064194
