cible,axe,n_cellules,variance_totale_inter_groupes,variance_de_bruit,part_de_bruit,r2_plafond,correlation_moities
mu,age,189.0,0.002992704696953297,0.0010603060545884963,0.3603616206605356,0.6396383793394644,0.5476848086085611
mu,age x education,495.8,0.00634402222931385,0.0042147791829602425,0.6642331852641715,0.3357668147358285,0.2704235244168093
mu,age x genre,378.0,0.004521319270133972,0.0024601152936594406,0.5498335489641449,0.45016645103585506,0.39816378848716094
mu,camp,189.0,0.002402510168030858,0.0010157877851879838,0.4210548821540446,0.5789451178459555,0.29422250968226366
mu,camp x age,565.6,0.006999214738607406,0.0045745216942974605,0.6555048381119851,0.3444951618880149,0.2699920694819678
mu,camp x education,438.0,0.0054999921470880505,0.0037671788429949594,0.6845118660006904,0.3154881339993096,0.180859565304241
mu,camp x genre,378.0,0.00402876203879714,0.0025358286498313566,0.6312263400618994,0.36877365993810063,0.16106960012475763
mu,education,189.0,0.002642624266445637,0.0015339571920511771,0.5864348887190628,0.4135651112809372,0.15917171456535772
mu,education x genre,371.4,0.004562621656805277,0.003292042131313315,0.7217020022942414,0.2782979977057586,0.10647152031927617
mu,genre,126.0,0.0016144733875989915,0.0004742533460738689,0.30059584907779946,0.6994041509222005,0.23438134299989918
mu,tous,3319.8,0.004868363309651613,0.003066469988018436,0.6308511705206092,0.3691488294793907,0.25055348490508955
pi,age,354.0,14.165143775939942,6.043260375695455,0.4268397048300325,0.5731602951699675,0.3831038266732447
pi,age x education,918.4,31.227927017211915,21.766204638667663,0.6967091230530336,0.3032908769469664,0.16350239380222398
pi,age x genre,706.0,23.220941162109376,14.431261165930735,0.6211312128647144,0.3788687871352856,0.2404594778493236
pi,camp,354.0,11.024444198608398,5.633235674698123,0.5123100829714066,0.48768991702859343,0.11787600467921167
pi,camp x age,1039.0,30.833297729492188,22.03267748981465,0.7148054013379601,0.28519459866203994,0.1677912053887473
pi,camp x education,814.0,26.8938419342041,20.933759391764703,0.7772920127689534,0.2227079872310465,0.032306987973213463
pi,camp x genre,707.0,19.501110076904297,13.330078465074461,0.6863152870204619,0.3136847129795382,0.1048025106026282
pi,education,354.0,13.646905517578125,8.39832967832214,0.6168676221181123,0.38313237788188775,0.06298535785648618
pi,education x genre,692.4,23.148600769042968,18.234292898592237,0.7879213257148452,0.2120786742851548,0.005076557566184095
pi,genre,236.0,7.462452125549317,2.495242758723639,0.3352842636323324,0.6647157363676677,0.15883494502030537
pi,tous,6174.8,23.373309707641603,16.1713990732074,0.6919116033069634,0.30808839669303645,0.13296589502413272
tau,age,354.0,13.389455795288086,3.229621745625903,0.24197513527644993,0.7580248647235501,0.7171856399411082
tau,age x education,918.4,34.53351516723633,11.898090649671273,0.34487710378722997,0.65512289621277,0.614310698260678
tau,age x genre,706.0,19.521432876586914,7.667388106433705,0.3929804364807321,0.6070195635192679,0.5602080686011458
tau,camp,354.0,10.391893577575683,3.349404914970754,0.3225643187171396,0.6774356812828605,0.6033996468559369
tau,camp x age,1039.0,25.732381439208986,11.463324460521704,0.4450125818431407,0.5549874181568593,0.5195048466752691
tau,camp x education,814.0,32.56312294006348,10.880069883406374,0.33433191685532015,0.6656680831446798,0.6325235564202275
tau,camp x genre,707.0,17.20915870666504,7.939339938443266,0.4615156480483268,0.5384843519516732,0.4651743826795604
tau,education,354.0,22.268974685668944,4.475960204674083,0.20165163852369544,0.7983483614763045,0.7496807394688273
tau,education x genre,692.4,29.279854202270506,9.946368552410307,0.34013440469744505,0.659865595302555,0.5982154371567494
tau,genre,236.0,6.140294361114502,1.7357424823350864,0.28329365096902503,0.7167063490309749,0.5665864786679139
tau,tous,6174.8,24.119100189208986,8.733867204646748,0.36228852516183746,0.6377114748381626,0.5964359845544569
