source,camp,mode,lecture,statistique,taux_total,valeur_moyenne,reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,courbe_a,courbe_b,courbe_r2
B0 segment,droite,concentre,global,A,0.02,-0.0668677229970908,-0.068442386630964,0.0042774784373516,0.368128947214085,0.7127770874036998,0.0,10,0.14225000000000002,0.10409647355693381,-0.04767600038606854,0.9990346293682002
B0 segment,droite,concentre,global,A,0.05,-0.0639712037258578,-0.068442386630964,0.0042774784373516,1.0452847327208352,0.2958913917264633,0.0,10,0.14225000000000002,0.10409647355693381,-0.04767600038606854,0.9990346293682002
B0 segment,droite,concentre,global,A,0.1,-0.058667283813935066,-0.068442386630964,0.0042774784373516,2.2852488820682835,0.0222982384224618,0.6,10,0.14225000000000002,0.10409647355693381,-0.04767600038606854,0.9990346293682002
B0 segment,droite,concentre,global,A,0.2,-0.048851620945465545,-0.068442386630964,0.0042774784373516,4.579979998129009,4.650203995835917e-06,1.0,10,0.14225000000000002,0.10409647355693381,-0.04767600038606854,0.9990346293682002
B0 segment,droite,concentre,global,A,0.3,-0.04176907558896177,-0.068442386630964,0.0042774784373516,6.2357558156428725,4.496019603652476e-10,1.0,10,0.14225000000000002,0.10409647355693381,-0.04767600038606854,0.9990346293682002
B0 segment,droite,concentre,global,B,0.02,0.041120142723808976,0.0421897808968637,0.001524859107359,-0.7014668882473313,0.483011691690522,0.0,10,0.09035,-0.055286655962431944,0.00751086747006485,0.9999940815049995
B0 segment,droite,concentre,global,B,0.05,0.03944323048917845,0.0421897808968637,0.001524859107359,-1.8011830695900628,0.07167402997059039,0.0,10,0.09035,-0.055286655962431944,0.00751086747006485,0.9999940815049995
B0 segment,droite,concentre,global,B,0.1,0.03670699011028429,0.0421897808968637,0.001524859107359,-3.595604839895929,0.0003236387553645174,1.0,10,0.09035,-0.055286655962431944,0.00751086747006485,0.9999940815049995
B0 segment,droite,concentre,global,B,0.2,0.031453474636838376,0.0421897808968637,0.001524859107359,-7.040851320762486,1.910688029603963e-12,1.0,10,0.09035,-0.055286655962431944,0.00751086747006485,0.9999940815049995
B0 segment,droite,concentre,global,B,0.3,0.026273739736106007,0.0421897808968637,0.001524859107359,-10.437712627971045,1.6678091116388598e-25,1.0,10,0.09035,-0.055286655962431944,0.00751086747006485,0.9999940815049995
B0 segment,droite,concentre,global,C,0.02,0.027148288973384033,0.0272338403041825,0.0009241516858999,-0.09257282338360058,0.9262429348115845,0.0,10,0.52545,-0.004668788621502607,-0.0019451077261827842,0.9977513110493976
