predicteur,description,rho_moyen,chute_moyenne,chute_min,chute_max,variables_retenues
H,"historique du menage, ridge",0.6529579940756807,0.5960089645558584,0.5200013511301497,0.7074053531685753,9
F,foret sur historique et demographies,0.6551465679825413,0.5922734846607806,0.5258685254898599,0.6945436275371162,9
P,"persistance seule, x(i, t)",0.6285813368820694,0.5769756155038381,0.4890370134399897,0.6885289878742626,9
HD,"historique et demographies, ridge",0.6445623607015295,0.5751954020929454,0.5140607389633377,0.7004778752203507,9
D,"demographies seules, ridge",0.13397748339824292,0.0335657159962556,-0.0056094584052604,0.0763066128473205,9
T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",0.2049696525102294,9.25185853854297e-18,-5.551115123125783e-17,5.551115123125783e-17,0
T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",0.0843513021019001,-0.090651569038617,-0.1187277166656992,-0.0534160177934203,0
