predicteur,axe,point_central,ic_bas,ic_haut,methode,n_replications,graine,note
B0 tirage,fuite_top1,0.0009475218658892,0.0,0.002186588921282799,"bootstrap_personnes (a2_commun), reechantillonnage par personne avec remise",2000,20260911,
B1 argmax,fuite_top1,0.0030612244897959,0.0009718172983479105,0.005515063168124392,"bootstrap_personnes (a2_commun), reechantillonnage par personne avec remise",2000,20260911,
B2 argmax,fuite_top1,0.0007774538386783,0.0,0.002043245869776469,"bootstrap_personnes (a2_commun), reechantillonnage par personne avec remise",2000,20260911,
PMM k=10,fuite_top1,0.0021865889212827,0.00048590864917395527,0.00413022351797862,"bootstrap_personnes (a2_commun), reechantillonnage par personne avec remise",2000,20260911,
humains vagues 1-3 (retest),fuite_top1,0.816156462585034,0.7991727405247814,0.832218172983479,"bootstrap_personnes (a2_commun), reechantillonnage par personne avec remise",2000,20260911,
Demographics Only - GPT4.1-mini,fidelite_plancher,0.5560455260191556,0.5477975452659349,0.5661957939089224,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
JSON Persona - GPT4.1,fidelite_plancher,0.7076865295873568,0.6978905314639309,0.7167314466646693,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
JSON Persona - GPT4.1-mini,fidelite_plancher,0.6754925865815253,0.6605019941187192,0.6919676781654069,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
Text Persona (Default Temperature) - GPT4.1-mini,fidelite_plancher,0.6135322940164373,0.6045343046692054,0.6222568981119712,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
Text Persona (Reasoning) - GPT4.1-mini,fidelite_plancher,0.6554242375063742,0.6459884468107385,0.6651385764442228,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
Text Persona (Repeating Questions) - GPT4.1-mini,fidelite_plancher,0.6365415881019224,0.6270765415115508,0.6449334510695419,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
Text Persona - GPT4.1-mini,fidelite_plancher,0.6234878347298128,0.6152153604401338,0.6324909355406115,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
Text Persona - Gemini-Flash2.5,fidelite_plancher,0.6976434594998515,0.6875302572715281,0.7071807885739743,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
B0 tirage,fidelite_plancher,-0.0013986341665557,-0.011251179581354924,0.009879984984951127,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
B1 argmax,fidelite_plancher,0.1014412331519869,0.0910619148897668,0.11194120008025858,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
B2 argmax,fidelite_plancher,0.1164003251034407,0.10594815760818246,0.12619832740284287,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
PMM k=10,fidelite_plancher,0.1363163318506647,0.12498300064748423,0.14727949574438068,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
humains vagues 1-3 (retest),fidelite_plancher,1.0001737530262738,0.9906356222916044,1.0094091988873315,"bootstrap par personne (numerateur et denominateur reechantillonnes independamment, meme convention que c7_compromis_robustesse.rho_bootstrap), chute sous permutation intra-segment (t1_mesures.chute, N_PERM_IC=30) normalisee au plancher humain",2000,20260911,
