jeu,predicteur,n,top1_monde_ferme,auc_ouvert,tpr_fpr_0_1pct,tpr_fpr_1pct,abstention_a_fpr_1pct,precision1_p0,precision1_p50,precision1_p90,top1_norme_plafond_humain
Twin,Demographics Only - GPT4.1-mini,2058,0.021477162293488825,0.012802677644707751,0.0009830903790087463,0.0019814509654793593,0.9902818270165209,0.021477162293488825,0.010738581146744412,0.002147716229348882,0.026331466698439176
Twin,Meilleur jumeau (JSON Persona GPT4.1),2058,0.20641399416909623,0.14939164614894967,0.00928862973760933,0.030408163265306123,0.9640427599611273,0.20641399416909623,0.10320699708454811,0.02064139941690962,0.25306803288454666
Twin,PMM k=10,2058,0.0005830903790087463,0.00022713514115905976,0.0,0.0,0.9917395529640428,0.0005830903790087463,0.0002915451895043732,5.830903790087462e-05,0.000714881448826403
Twin,Retest humain (plafond),2058,0.8156462585034013,0.7658045447805666,0.36858697764820214,0.5448858114674441,0.4655004859086491,0.8156462585034013,0.40782312925170067,0.08156462585034012,1.0
Stanford,démographique,1052,0.02338403041825095,0.012881041362460061,0.0,0.0,0.9914448669201521,0.02338403041825095,0.011692015209125476,0.002338403041825095,0.024179280518969924
Stanford,Meilleur agent (composite),1052,0.6560836501901142,0.5529915858260204,0.08473764258555133,0.20391001267427122,0.7965779467680608,0.6560836501901142,0.3280418250950571,0.0656083650190114,0.6783959111460587
Stanford,PMM k=10,1052,0.00532319391634981,0.0019567110989026876,0.0,0.0,0.9923954372623575,0.00532319391634981,0.002661596958174905,0.0005323193916349809,0.005504226459602909
Stanford,Retest humain (plafond),1052,0.9671102661596959,0.9588982239153379,0.6353384030418251,0.9068821292775665,0.094106463878327,0.9671102661596959,0.48355513307984793,0.09671102661596956,1.0
