condition,axe,mesure,ratio_inter,ratio_intra
agents persona (v7),education,variance_ordinale,0.2366,0.5431
agents persona (v7),profil croise,entropie,0.3803,0.6740
agents persona (v7),profil croise,gini_simpson,0.2808,0.6694
agents persona (v7),profil croise,variance_ordinale,0.1932,0.5753
agents demographiques (v6),gender,entropie,1.5659,0.6381
agents demographiques (v6),gender,gini_simpson,1.4983,0.6429
agents demographiques (v6),gender,variance_ordinale,0.9437,0.4988
agents demographiques (v6),race,entropie,2.4423,0.6319
agents demographiques (v6),race,gini_simpson,2.1347,0.6375
agents demographiques (v6),race,variance_ordinale,1.9959,0.4898
agents demographiques (v6),political_ideology,entropie,0.3437,0.6555
agents demographiques (v6),political_ideology,gini_simpson,0.3479,0.6612
agents demographiques (v6),political_ideology,variance_ordinale,0.2250,0.5292
agents demographiques (v6),age,entropie,0.7029,0.6407
agents demographiques (v6),age,gini_simpson,0.7289,0.6446
agents demographiques (v6),age,variance_ordinale,0.5601,0.5010
agents demographiques (v6),education,entropie,2.6897,0.6206
agents demographiques (v6),education,gini_simpson,2.6371,0.6263
agents demographiques (v6),education,variance_ordinale,1.7043,0.4868
agents demographiques (v6),profil croise,entropie,0.7051,0.6377
agents demographiques (v6),profil croise,gini_simpson,0.6504,0.6465
agents demographiques (v6),profil croise,variance_ordinale,0.4136,0.5116
agents demographiques (v8),gender,entropie,1.0870,0.8001
agents demographiques (v8),gender,gini_simpson,1.1339,0.8308
agents demographiques (v8),gender,variance_ordinale,1.1813,0.9493
agents demographiques (v8),race,entropie,4.0105,0.7822
agents demographiques (v8),race,gini_simpson,3.8636,0.8135
agents demographiques (v8),race,variance_ordinale,3.4273,0.9302
agents demographiques (v8),political_ideology,entropie,8.5144,0.4605
agents demographiques (v8),political_ideology,gini_simpson,8.2486,0.4713
agents demographiques (v8),political_ideology,variance_ordinale,7.6270,0.3024
agents demographiques (v8),age,entropie,3.4988,0.7408
agents demographiques (v8),age,gini_simpson,3.6151,0.7684
agents demographiques (v8),age,variance_ordinale,1.5703,0.9374
agents demographiques (v8),education,entropie,0.3685,0.8057
agents demographiques (v8),education,gini_simpson,0.3835,0.8363
agents demographiques (v8),education,variance_ordinale,-0.0399,0.9632
agents demographiques (v8),profil croise,entropie,6.6448,0.4982
agents demographiques (v8),profil croise,gini_simpson,6.5709,0.5217
agents demographiques (v8),profil croise,variance_ordinale,6.7129,0.3464
