jeu,baseline,n_items,1-MAE_mediane,1-TV_mediane,KS_mediane,spearman_median,spearman_ge90_pct_k3plus
GSS,B0 uniforme,342,0.8345831775062944,0.7376398913410762,,,0.0
GSS,B1 autre cohorte,342,0.9847136391943194,0.9740357165026791,,0.9999999999999999,84.23645320197043
GSS,B2 sous-echantillon (sexe),342,0.9843195731231447,0.9737271736196279,,0.9999999999999999,83.2512315270936
GSS,BAD item permute,336,0.7863757721238636,0.6504242438700358,,0.0,11.6751269035533
GSS,BAD camp inverse,336,0.7616098683503985,0.5961749648858081,,-0.9999999999999999,2.5380710659898478
Twin-2K-500,B0 uniforme,105,0.9069510268562402,0.8168124392614189,0.742274052478134,,0.0
Twin-2K-500,B1 persistance,105,0.988338192419825,0.9820075757575757,0.9798347910592808,0.9999999999999999,77.5
Twin-2K-500,BAD item permute,99,0.89066037667169,0.8038094101466818,0.7142308553580787,0.7999999999999999,22.22222222222222
Twin-2K-500,BAD camp inverse,99,0.8479474548440066,0.8031189083820662,0.531827016520894,-0.9999999999999999,0.0
