condition,axe_transport,variante,lambda_median,ratio_inter_avant,ratio_inter_apres,inter_ic_bas,inter_ic_haut,ratio_intra_avant,ratio_intra_apres,intra_ic_bas,intra_ic_haut,ratio_total,plafond,exactitude_70_avant,exactitude_70_apres,delta_70,delta_70_ic_bas,delta_70_ic_haut,exactitude_149_apres,delta_149,delta_149_ic_bas,delta_149_ic_haut,un_dans_ic_inter,un_dans_ic_intra
agents composite,political_ideology,naive,0.70,2.3597,1.0706,0.9898,1.1535,0.7545,0.8801,0.8652,0.8953,0.8970,0.9842,0.5596,0.5380,-0.0216,-0.0235,-0.0198,0.6738,-0.0102,-0.0110,-0.0093,oui,non
agents composite,political_ideology,informee,0.70,2.3597,1.0706,0.9640,1.1780,0.7545,0.8801,0.8639,0.8978,0.8970,0.9842,0.5596,0.5480,-0.0116,-0.0133,-0.0099,0.6785,-0.0054,-0.0062,-0.0047,oui,non
agents composite,profil croise,naive,0.60,2.2073,0.9876,0.9143,1.0583,0.7596,0.8906,0.8761,0.9046,0.8998,0.9909,0.5596,0.5372,-0.0224,-0.0242,-0.0207,0.6734,-0.0105,-0.0114,-0.0097,oui,non
agents composite,profil croise,informee,0.60,2.2073,0.9876,0.9003,1.0737,0.7596,0.8906,0.8726,0.9098,0.8998,0.9909,0.5596,0.5467,-0.0129,-0.0146,-0.0111,0.6779,-0.0060,-0.0069,-0.0052,oui,non
agents enquete,political_ideology,naive,0.60,2.6725,0.9660,0.8868,1.0485,0.7036,0.8700,0.8541,0.8865,0.8785,0.9637,0.5206,0.4974,-0.0233,-0.0252,-0.0213,0.6401,-0.0109,-0.0118,-0.0100,oui,non
agents enquete,political_ideology,informee,0.60,2.6725,0.9660,0.8831,1.0639,0.7036,0.8700,0.8542,0.8871,0.8785,0.9637,0.5206,0.5116,-0.0090,-0.0109,-0.0073,0.6467,-0.0042,-0.0051,-0.0034,oui,non
agents enquete,profil croise,naive,0.60,2.3588,1.0061,0.9343,1.0813,0.7231,0.8681,0.8529,0.8829,0.8812,0.9703,0.5206,0.4999,-0.0208,-0.0226,-0.0190,0.6412,-0.0098,-0.0106,-0.0089,oui,non
agents enquete,profil croise,informee,0.60,2.3588,1.0061,0.9289,1.0927,0.7231,0.8681,0.8502,0.8841,0.8812,0.9703,0.5206,0.5132,-0.0074,-0.0091,-0.0059,0.6475,-0.0035,-0.0043,-0.0028,oui,non
agents entretien (v3),political_ideology,naive,0.60,3.2180,1.0667,0.9674,1.1705,0.7307,0.9399,0.9218,0.9575,0.9511,1.0439,0.5273,0.4988,-0.0285,-0.0307,-0.0265,0.6431,-0.0134,-0.0144,-0.0124,oui,non
agents entretien (v3),political_ideology,informee,0.60,3.2180,1.0667,0.9403,1.1905,0.7307,0.9399,0.9214,0.9595,0.9511,1.0439,0.5273,0.5086,-0.0187,-0.0208,-0.0167,0.6478,-0.0088,-0.0098,-0.0078,oui,non
agents entretien (v3),profil croise,naive,0.50,3.0782,0.9637,0.8818,1.0549,0.7284,0.9517,0.9334,0.9691,0.9528,1.0510,0.5273,0.4955,-0.0318,-0.0341,-0.0295,0.6416,-0.0149,-0.0160,-0.0139,oui,non
agents entretien (v3),profil croise,informee,0.50,3.0782,0.9637,0.8570,1.0760,0.7284,0.9517,0.9342,0.9719,0.9528,1.0510,0.5273,0.5074,-0.0199,-0.0220,-0.0177,0.6472,-0.0093,-0.0103,-0.0083,oui,non
agents demographiques (v8),political_ideology,naive,0.40,7.7079,1.1478,1.0147,1.2954,0.2961,0.9350,0.9122,0.9562,0.9539,1.0462,0.4378,0.3980,-0.0397,-0.0435,-0.0360,0.5405,-0.0187,-0.0204,-0.0169,non,non
agents demographiques (v8),political_ideology,informee,0.40,7.7079,1.1478,0.9994,1.2930,0.2961,0.9350,0.9087,0.9604,0.9539,1.0462,0.4378,0.4015,-0.0363,-0.0404,-0.0323,0.5421,-0.0170,-0.0190,-0.0152,oui,non
agents demographiques (v8),profil croise,naive,0.30,6.8050,1.0099,0.8640,1.1488,0.3402,0.9557,0.9285,0.9833,0.9608,1.0534,0.4378,0.3944,-0.0434,-0.0474,-0.0394,0.5388,-0.0204,-0.0223,-0.0185,oui,non
agents demographiques (v8),profil croise,informee,0.30,6.8050,1.0099,0.8665,1.1549,0.3402,0.9557,0.9281,0.9828,0.9608,1.0534,0.4378,0.4017,-0.0360,-0.0400,-0.0321,0.5423,-0.0169,-0.0188,-0.0151,oui,non
