modele,recette,temperature,n_attaques,n_pool,taux_parse_moyen,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,exactitude,exactitude_bas,exactitude_haut,rang_median,top1_hasard,top10_hasard
llama31-8b,R1,0.0,200,2058,0.9999166666666668,0.0,0.0,0.0,0.01375,0.0,0.03125,0.39418502824858753,0.3795833333333334,0.40875045903954804,885.85,0.00048590864917395527,0.004859086491739553
llama31-8b,R2,0.0,200,2058,1.0,0.0,0.0,0.0,0.0045,0.0,0.0125,0.3984166666666667,0.38175000000000003,0.4126666666666667,885.95,0.00048590864917395527,0.004859086491739553
qwen37-flash,R1,0.0,200,2058,0.9999166666666668,0.0022500000000000003,0.0,0.006750000000000001,0.011000000000000001,0.0,0.027000000000000003,0.4149491525423729,0.4019237288135593,0.42816666666666664,820.0,0.00048590864917395527,0.004859086491739553
qwen37-flash,R2,0.0,200,2058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41200000000000003,0.3978333333333333,0.42609166666666665,787.25,0.00048590864917395527,0.004859086491739553
deepseek-v4,R1,0.0,200,2058,1.0,0.00825,0.0,0.0215,0.0175,0.0025,0.0375,0.4553333333333333,0.4425833333333334,0.46725208333333335,690.7249999999999,0.00048590864917395527,0.004859086491739553
deepseek-v4,R2,0.0,200,2058,1.0,0.005,0.0,0.015,0.0215,0.005,0.043,0.44908333333333333,0.4375833333333333,0.46008333333333334,670.45,0.00048590864917395527,0.004859086491739553
qwen37-flash,R1,1.0,200,2058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41975,0.40833125000000003,0.4315833333333333,833.0,0.00048590864917395527,0.004859086491739553
