perimetre,condition,metrique,groupe,n_items_groupe,n_items_temoin,moyenne_groupe,moyenne_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
150,C3,ecart_desirabilite,sensible,10,46,-0.088305,0.042570,-0.130875,-0.307704,0.035637,0.129100
150,C3,ecart_desirabilite,investiguer,7,46,-0.134502,0.042570,-0.177073,-0.347269,-0.000912,0.077900
150,C3,ecart_desirabilite,sensible+investiguer,17,46,-0.107328,0.042570,-0.149898,-0.283184,-0.015036,0.038200
150,C3,exactitude,sensible,12,65,0.517222,0.587590,-0.070368,-0.145291,0.002240,0.180800
150,C3,exactitude,investiguer,13,65,0.566667,0.587590,-0.020923,-0.157441,0.112926,0.711000
150,C3,exactitude,sensible+investiguer,25,65,0.542933,0.587590,-0.044656,-0.130401,0.041195,0.290800
150,agents composite,distance,sensible,12,65,0.129882,0.074561,0.055321,0.003063,0.119849,0.012600
150,agents composite,distance,investiguer,13,65,0.067496,0.074561,-0.007065,-0.031959,0.018319,0.668200
150,agents composite,distance,sensible+investiguer,25,65,0.097441,0.074561,0.022881,-0.009093,0.061839,0.132500
150,agents composite,ecart_desirabilite,sensible,10,46,-0.044361,-0.022643,-0.021718,-0.080537,0.041848,0.431500
150,agents composite,ecart_desirabilite,investiguer,7,46,-0.024851,-0.022643,-0.002208,-0.062073,0.057906,0.942000
150,agents composite,ecart_desirabilite,sensible+investiguer,17,46,-0.036327,-0.022643,-0.013684,-0.058926,0.032736,0.543100
150,agents composite,exactitude,sensible,12,65,0.611667,0.694769,-0.083103,-0.149591,-0.009604,0.053100
150,agents composite,exactitude,investiguer,13,65,0.670769,0.694769,-0.024000,-0.133856,0.081538,0.603500
150,agents composite,exactitude,sensible+investiguer,25,65,0.642400,0.694769,-0.052369,-0.122649,0.020001,0.129400
150,agents demographiques (v6),distance,sensible,12,65,0.196320,0.151277,0.045043,-0.025127,0.121360,0.168400
150,agents demographiques (v6),distance,investiguer,13,65,0.137744,0.151277,-0.013534,-0.058715,0.030578,0.642100
150,agents demographiques (v6),distance,sensible+investiguer,25,65,0.165860,0.151277,0.014583,-0.030228,0.062730,0.545000
150,agents demographiques (v6),ecart_desirabilite,sensible,10,46,0.010248,0.032713,-0.022465,-0.117780,0.073017,0.653400
150,agents demographiques (v6),ecart_desirabilite,investiguer,7,46,-0.065453,0.032713,-0.098165,-0.185716,-0.008511,0.102100
150,agents demographiques (v6),ecart_desirabilite,sensible+investiguer,17,46,-0.020923,0.032713,-0.053636,-0.129161,0.020520,0.198700
150,agents demographiques (v6),exactitude,sensible,12,65,0.540869,0.583663,-0.042794,-0.121815,0.051511,0.462700
150,agents demographiques (v6),exactitude,investiguer,13,65,0.550256,0.583663,-0.033407,-0.140363,0.073685,0.557400
150,agents demographiques (v6),exactitude,sensible+investiguer,25,65,0.545750,0.583663,-0.037913,-0.112799,0.038430,0.378500
150,agents enquete,distance,sensible,12,65,0.144768,0.094807,0.049961,0.001255,0.110225,0.018100
150,agents enquete,distance,investiguer,13,65,0.108914,0.094807,0.014107,-0.025555,0.056728,0.436400
150,agents enquete,distance,sensible+investiguer,25,65,0.126124,0.094807,0.031317,-0.002852,0.070209,0.047200
150,agents enquete,ecart_desirabilite,sensible,10,46,-0.003278,0.008332,-0.011610,-0.069049,0.044341,0.717100
150,agents enquete,ecart_desirabilite,investiguer,7,46,-0.045544,0.008332,-0.053877,-0.159553,0.054951,0.211500
150,agents enquete,ecart_desirabilite,sensible+investiguer,17,46,-0.020682,0.008332,-0.029014,-0.088984,0.031117,0.315500
150,agents enquete,exactitude,sensible,12,65,0.635000,0.660415,-0.025415,-0.101610,0.059330,0.582300
150,agents enquete,exactitude,investiguer,13,65,0.637367,0.660415,-0.023048,-0.149071,0.097819,0.639400
150,agents enquete,exactitude,sensible+investiguer,25,65,0.636231,0.660415,-0.024184,-0.102687,0.052611,0.506000
150,agents entretien (v3),distance,sensible,12,65,0.165336,0.091066,0.074271,0.011519,0.148800,0.002700
150,agents entretien (v3),distance,investiguer,13,65,0.077530,0.091066,-0.013536,-0.038157,0.011044,0.445800
150,agents entretien (v3),distance,sensible+investiguer,25,65,0.119677,0.091066,0.028611,-0.008462,0.072752,0.099800
150,agents entretien (v3),ecart_desirabilite,sensible,10,46,-0.037830,-0.039990,0.002159,-0.071305,0.075146,0.950900
150,agents entretien (v3),ecart_desirabilite,investiguer,7,46,-0.030118,-0.039990,0.009871,-0.052269,0.076032,0.791800
150,agents entretien (v3),ecart_desirabilite,sensible+investiguer,17,46,-0.034655,-0.039990,0.005335,-0.046821,0.060373,0.845400
150,agents entretien (v3),exactitude,sensible,12,65,0.606479,0.666097,-0.059618,-0.137984,0.030585,0.178900
150,agents entretien (v3),exactitude,investiguer,13,65,0.634872,0.666097,-0.031225,-0.150314,0.087507,0.506300
150,agents entretien (v3),exactitude,sensible+investiguer,25,65,0.621243,0.666097,-0.044854,-0.123481,0.034168,0.217600
150,agents v7,distance,sensible,12,65,0.203748,0.165317,0.038430,-0.026022,0.109998,0.185700
150,agents v7,distance,investiguer,13,65,0.199099,0.165317,0.033781,-0.010940,0.079702,0.196400
150,agents v7,distance,sensible+investiguer,25,65,0.201330,0.165317,0.036013,-0.005941,0.080015,0.094600
150,agents v7,ecart_desirabilite,sensible,10,46,0.027925,0.100421,-0.072496,-0.171527,0.032676,0.128300
150,agents v7,ecart_desirabilite,investiguer,7,46,-0.077002,0.100421,-0.177423,-0.320852,-0.029924,0.002600
150,agents v7,ecart_desirabilite,sensible+investiguer,17,46,-0.015281,0.100421,-0.115701,-0.205318,-0.021959,0.006900
150,agents v7,exactitude,sensible,12,65,0.543855,0.574441,-0.030586,-0.110366,0.063534,0.531200
150,agents v7,exactitude,investiguer,13,65,0.532679,0.574441,-0.041762,-0.158576,0.077020,0.421500
150,agents v7,exactitude,sensible+investiguer,25,65,0.538044,0.574441,-0.036397,-0.115711,0.042872,0.342000
150,agents v8,distance,sensible,12,65,0.176385,0.117462,0.058923,-0.009034,0.138241,0.051000
150,agents v8,distance,investiguer,13,65,0.111843,0.117462,-0.005619,-0.058426,0.055699,0.840600
150,agents v8,distance,sensible+investiguer,25,65,0.142823,0.117462,0.025361,-0.023417,0.076865,0.262100
150,agents v8,ecart_desirabilite,sensible,10,46,-0.031722,0.022501,-0.054223,-0.129470,0.030834,0.156700
150,agents v8,ecart_desirabilite,investiguer,7,46,-0.045906,0.022501,-0.068407,-0.188009,0.065921,0.152600
150,agents v8,ecart_desirabilite,sensible+investiguer,17,46,-0.037563,0.022501,-0.060063,-0.129776,0.018002,0.076300
150,agents v8,exactitude,sensible,12,65,0.535861,0.577474,-0.041613,-0.128581,0.058202,0.383200
150,agents v8,exactitude,investiguer,13,65,0.559215,0.577474,-0.018259,-0.134159,0.097769,0.714400
150,agents v8,exactitude,sensible+investiguer,25,65,0.548005,0.577474,-0.029469,-0.107978,0.051672,0.442800
150,humains vague 2,distance,sensible,12,65,0.022107,0.026735,-0.004629,-0.013808,0.006259,0.412300
150,humains vague 2,distance,investiguer,13,65,0.016461,0.026735,-0.010274,-0.017034,-0.003787,0.047500
150,humains vague 2,distance,sensible+investiguer,25,65,0.019171,0.026735,-0.007564,-0.014121,-0.000799,0.062800
150,humains vague 2,ecart_desirabilite,sensible,10,46,0.000028,-0.005359,0.005387,-0.008086,0.018331,0.574000
150,humains vague 2,ecart_desirabilite,investiguer,7,46,-0.001639,-0.005359,0.003721,-0.012040,0.019356,0.738800
150,humains vague 2,ecart_desirabilite,sensible+investiguer,17,46,-0.000658,-0.005359,0.004701,-0.007081,0.016301,0.535000
150,humains vague 2,exactitude,sensible,12,65,0.773333,0.791282,-0.017949,-0.064983,0.031599,0.562700
150,humains vague 2,exactitude,investiguer,13,65,0.795385,0.791282,0.004103,-0.065541,0.069333,0.896000
150,humains vague 2,exactitude,sensible+investiguer,25,65,0.784800,0.791282,-0.006482,-0.052064,0.038853,0.782800
1052,B0 mode,distance,sensible,12,65,0.254495,0.281832,-0.027337,-0.085439,0.032001,0.495600
1052,B0 mode,distance,investiguer,13,65,0.329457,0.281832,0.047625,-0.031047,0.127716,0.237200
1052,B0 mode,distance,sensible+investiguer,25,65,0.293475,0.281832,0.011643,-0.045134,0.070863,0.708200
1052,B0 mode,ecart_desirabilite,sensible,10,45,0.054206,0.069480,-0.015273,-0.159817,0.122835,0.832900
1052,B0 mode,ecart_desirabilite,investiguer,7,45,-0.172639,0.069480,-0.242118,-0.441526,-0.020773,0.009000
1052,B0 mode,ecart_desirabilite,sensible+investiguer,17,45,-0.039201,0.069480,-0.108680,-0.247429,0.027651,0.090700
