modele,cle_modele,identite,perimetre,n_items,ecart_decrit_moyen,ecart_reel_moyen,facteur,ic_bas,ic_haut,facteur_plancher_w2_w1,p,p_holm,hypothese
Qwen3-4B-Instruct-2507,q4,journaliste,tous les items,147,0.1888585306122449,0.21115711315874766,0.8943981464184031,0.769053680055738,1.037655923520569,1.0102301088004952,0.049847507624618766,0.24923753812309382,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Instruct-2507,q4,adversaire,tous les items,148,0.16293744256756756,0.2113346932353173,0.77099240107321,0.65270458536665,0.9072614757120919,1.0106739039214703,0.0927953602319884,0.3711814409279536,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Base,q4base,journaliste,tous les items,143,0.12832167832167835,0.21028360562034829,0.6102314916235257,0.4724544728557848,0.7618600670500242,1.0109786293251548,0.46512674366281687,0.9302534873256337,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Base,q4base,adversaire,tous les items,144,0.24632724305555553,0.21221431489346676,1.160747535712724,0.9750878170565522,1.380341501882277,1.0139433487342848,0.0006999650017499125,0.004899755012249388,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B,q4hyb,journaliste,tous les items,142,0.08016302816901409,0.2130532465254676,0.3762581865159783,0.28527438270069494,0.48235799994699713,1.0094383949666987,0.2704864756762162,0.8114594270286486,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B,q4hyb,adversaire,tous les items,142,0.09839452816901408,0.209782081004126,0.46903209129229134,0.3604266427265804,0.5976980364449218,1.0083130542399872,0.7810109494525274,0.9302534873256337,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Instruct-2507,q4nogab,journaliste,tous les items,147,0.21247673809523812,0.21204939171357776,1.0020153152914373,0.8534912731700754,1.155343726826311,1.0106709019681268,0.005349732513374331,0.032098395080245985,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Instruct-2507,q4nogab,adversaire,tous les items,144,0.290710375,0.2130388059030687,1.3645888305075808,1.1773491784022239,1.570257187600154,1.011951370431972,0.00034998250087495624,0.00279986000699965,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Instruct-2507,q4,journaliste,items retenus stricts,65,0.07867948717948717,0.2585492958737736,0.3043113573896534,0.08731126042676601,0.5096593545013737,1.0112422061099535,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4,adversaire,items retenus stricts,65,0.06988461538461538,0.2585492958737736,0.2702951294005216,0.08774004590322587,0.4621858608781592,1.0112422061099535,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B-Base,q4base,journaliste,items retenus stricts,65,0.1482948717948718,0.2585492958737736,0.5735651736884669,0.3623609134719295,0.8185014542464697,1.0112422061099535,0.000999950002499875,0.0039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B-Base,q4base,adversaire,items retenus stricts,65,0.12306410256410258,0.2585492958737736,0.47597926015696335,0.16403029194272506,0.7837136231504978,1.0112422061099535,0.0026998650067496625,0.008099595020248988,"H2b, ecart signe (position orientee)"
Qwen3-4B,q4hyb,journaliste,items retenus stricts,65,0.07122222564102564,0.2585492958737736,0.2754686505733013,0.11839960924537847,0.4435879162947319,1.0112422061099535,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B,q4hyb,adversaire,items retenus stricts,63,0.05977513227513228,0.256406311172137,0.23312660285886083,0.07213954995243105,0.417724226062535,1.0095137116629251,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4nogab,journaliste,items retenus stricts,65,0.20944871794871797,0.2585492958737736,0.8100920067907397,0.5277963172406925,1.0925727079463472,1.0112422061099535,0.1936403179841008,0.3872806359682016,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4nogab,adversaire,items retenus stricts,65,0.25380769230769235,0.2585492958737736,0.9816607368816963,0.6562618569107684,1.336118019293578,1.0112422061099535,0.9209039548022598,0.9209039548022598,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4,journaliste,79 items orientes,79,0.05885021097046415,0.24057928432303727,0.2446187797759144,0.0594802299598782,0.43193618602576106,1.0089304742226926,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4,adversaire,79 items orientes,79,0.053069620253164564,0.24057928432303727,0.22059098065112479,0.05405239164069943,0.3892542662972695,1.0089304742226926,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B-Base,q4base,journaliste,79 items orientes,79,0.13619198312236286,0.24057928432303727,0.5661002089418946,0.36535304384358824,0.7845392698188758,1.0089304742226926,0.0002999850007499625,0.00119994000299985,"H2b, ecart signe (position orientee)"
Qwen3-4B-Base,q4base,adversaire,79 items orientes,79,0.10593881856540083,0.24057928432303727,0.44034888067566,0.14455204903982766,0.7303338732942409,1.0089304742226926,0.0006999650017499125,0.0020998950052497373,"H2b, ecart signe (position orientee)"
Qwen3-4B,q4hyb,journaliste,79 items orientes,79,0.06296765400843882,0.24057928432303727,0.26173348293733034,0.11308127322396808,0.409787151292976,1.0089304742226926,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B,q4hyb,adversaire,79 items orientes,77,0.04825757575757575,0.23835917965674405,0.20245738312688627,0.05645384726946351,0.35552307165487934,1.0073270390211755,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4nogab,journaliste,79 items orientes,79,0.17492616033755276,0.24057928432303727,0.727104001617492,0.47611616676689394,0.9879187037844747,1.0089304742226926,0.04174791260436978,0.08349582520873956,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4nogab,adversaire,79 items orientes,79,0.2065506329113924,0.24057928432303727,0.8585553552235488,0.5372834940155266,1.1856035895677568,1.0089304742226926,0.39858007099645015,0.39858007099645015,"H2b, ecart signe (position orientee)"
