source,n,A,B,C,polarisation
Demographics Only - GPT4.1-mini,2058,-0.1265058603272069,0.028802329058966184,0.10055879494655004,0.18877030636695058
JSON Persona (Predicted Output) - GPT4.1,2050,-0.24681336524683173,0.032058078428520397,0.02656326932545544,0.4315640738752197
JSON Persona (Predicted Output) - GPT4.1-mini,2058,-0.20579888314344608,0.01761777365290379,0.059174428094218766,0.25835389510361234
JSON Persona - GPT4.1,2058,-0.24257700288507666,0.03577175787213082,0.038799805636540334,0.3954799000044784
JSON Persona - GPT4.1-mini,1000,-0.19919462886312422,0.07044826007001012,0.037412236710130393,0.3760109664380678
LLM Finetuning (500 training samples) - GPT4.1-mini,1558,-0.7926087671663921,0.24589900772306983,0.4326379974326059,0.09547306526851829
Persona Summary - GPT4.1-mini,2058,-0.19034485400446255,0.038948519848710395,0.06474732750242954,0.25764000618761324
Persona Summary - JSON Persona - GPT4.1-mini,2058,-0.2264784328152304,0.058054126144543194,0.10150631681243927,0.23660886058966596
Text Persona (Default Temperature) - GPT4.1-mini,2058,-0.09190608671319633,0.018594480631000804,0.03408649173955296,0.3491596343741588
Text Persona (Reasoning) - GPT4.1-mini,2058,-0.09181256787461789,0.021458141999976074,0.019776482021379983,0.3666305413468608
Text Persona (Repeating Questions) - GPT4.1-mini,2058,-0.12838728046481984,0.024639282579448835,0.02978620019436346,0.41881630028667666
Text Persona - GPT4.1-mini,2058,-0.15632326708670452,0.024983632823630638,0.05051020408163265,0.37637795883704983
Text Persona - Gemini-Flash2.5,2058,-0.08417285423785581,0.01859701032762206,0.01909620991253644,0.33275936483478546
humains vague 4,2058,-0.04381613163867204,0.028208981935918802,0.007968901846452865,0.21120841764572232
