condition,n,exactitude_vraie,chute_relative,part_du_plancher_humain
Text Persona - GPT4.1-mini,2058,0.5529706950807534,0.2844740862708258,0.6234878347298128
Text Persona - Gemini-Flash2.5,2058,0.550473182470267,0.3183085132206966,0.6976434594998515
