condition,axe_transport,variante,axe_mesure,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_global,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee
agents demographiques (v8),aucun,aucune,_tous_axes,entropie,5.7957,5.5064,6.0543,0.6797,0.6712,0.6867,0.8022,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000
agents demographiques (v8),aucun,aucune,_tous_axes,gini_simpson,5.9681,5.6498,6.2699,0.6995,0.6892,0.7084,0.8256,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000
agents composite,political_ideology,dilatation,political_ideology,entropie,1.1410,1.0514,1.2344,1.0281,1.0180,1.0368,1.0334,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714
agents composite,political_ideology,dilatation,political_ideology,gini_simpson,1.3301,1.2329,1.4271,1.0202,1.0086,1.0299,1.0357,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714
agents composite,political_ideology,dilatation,profil croise,entropie,1.2111,1.1468,1.2758,1.0229,1.0128,1.0320,1.0334,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714
agents composite,political_ideology,dilatation,profil croise,gini_simpson,1.4026,1.3165,1.4850,1.0147,1.0042,1.0250,1.0357,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714
agents composite,political_ideology,dilatation,_tous_axes,entropie,1.2195,1.1680,1.2736,1.0288,1.0218,1.0353,1.0334,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714
agents composite,political_ideology,dilatation,_tous_axes,gini_simpson,1.3790,1.3146,1.4473,1.0272,1.0194,1.0344,1.0357,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714
agents composite,profil croise,dilatation,political_ideology,entropie,1.4200,1.3356,1.5092,1.0071,0.9977,1.0161,1.0262,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674
agents composite,profil croise,dilatation,political_ideology,gini_simpson,1.5766,1.4891,1.6711,1.0000,0.9893,1.0099,1.0288,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674
agents composite,profil croise,dilatation,profil croise,entropie,0.9798,0.9082,1.0502,1.0290,1.0190,1.0390,1.0262,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674
agents composite,profil croise,dilatation,profil croise,gini_simpson,1.2132,1.1318,1.2880,1.0182,1.0077,1.0295,1.0288,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674
agents composite,profil croise,dilatation,_tous_axes,entropie,1.1690,1.1130,1.2226,1.0227,1.0153,1.0298,1.0262,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674
agents composite,profil croise,dilatation,_tous_axes,gini_simpson,1.3423,1.2780,1.4063,1.0211,1.0136,1.0284,1.0288,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674
