condition,axe_transport,variante,axe_mesure,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_global,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee
agents enquete,profil croise,naive,_tous_axes,gini_simpson,1.0657,1.0170,1.1098,0.8755,0.8695,0.8817,0.8800,0.6331,0.6293,0.6366,-0.0179,-0.0190,-0.0169,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,political_ideology,entropie,1.4860,1.4038,1.5765,0.8287,0.8208,0.8373,0.8592,0.6440,0.6401,0.6476,-0.0070,-0.0081,-0.0060,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,political_ideology,gini_simpson,1.5755,1.4716,1.6793,0.8435,0.8346,0.8537,0.8800,0.6440,0.6401,0.6476,-0.0070,-0.0081,-0.0060,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,profil croise,entropie,0.9202,0.8541,0.9883,0.8556,0.8476,0.8647,0.8592,0.6440,0.6401,0.6476,-0.0070,-0.0081,-0.0060,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,profil croise,gini_simpson,1.0404,0.9489,1.1219,0.8708,0.8612,0.8811,0.8800,0.6440,0.6401,0.6476,-0.0070,-0.0081,-0.0060,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,_tous_axes,entropie,1.0568,0.9961,1.1120,0.8544,0.8477,0.8617,0.8592,0.6440,0.6401,0.6476,-0.0070,-0.0081,-0.0060,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,_tous_axes,gini_simpson,1.1563,1.0830,1.2237,0.8732,0.8657,0.8820,0.8800,0.6440,0.6401,0.6476,-0.0070,-0.0081,-0.0060,0.8591,0.5535,0.0417
agents entretien (v3),political_ideology,naive,political_ideology,entropie,0.9294,0.8620,1.0047,0.8616,0.8550,0.8688,0.8647,0.6339,0.6306,0.6373,-0.0226,-0.0240,-0.0212,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,naive,political_ideology,gini_simpson,1.0386,0.9631,1.1246,0.8578,0.8510,0.8652,0.8668,0.6339,0.6306,0.6373,-0.0226,-0.0240,-0.0212,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,naive,profil croise,entropie,1.0319,0.9756,1.0947,0.8548,0.8477,0.8632,0.8647,0.6339,0.6306,0.6373,-0.0226,-0.0240,-0.0212,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,naive,profil croise,gini_simpson,1.1267,1.0524,1.2087,0.8519,0.8440,0.8606,0.8668,0.6339,0.6306,0.6373,-0.0226,-0.0240,-0.0212,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,naive,_tous_axes,entropie,1.0068,0.9592,1.0576,0.8612,0.8553,0.8673,0.8647,0.6339,0.6306,0.6373,-0.0226,-0.0240,-0.0212,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,naive,_tous_axes,gini_simpson,1.0648,1.0108,1.1248,0.8620,0.8553,0.8684,0.8668,0.6339,0.6306,0.6373,-0.0226,-0.0240,-0.0212,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,informee,political_ideology,entropie,0.9294,0.8261,1.0319,0.8616,0.8520,0.8707,0.8647,0.6430,0.6391,0.6466,-0.0136,-0.0150,-0.0122,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,informee,political_ideology,gini_simpson,1.0386,0.9166,1.1675,0.8578,0.8473,0.8692,0.8668,0.6430,0.6391,0.6466,-0.0136,-0.0150,-0.0122,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,informee,profil croise,entropie,1.0819,1.0021,1.1674,0.8519,0.8416,0.8608,0.8647,0.6430,0.6391,0.6466,-0.0136,-0.0150,-0.0122,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,informee,profil croise,gini_simpson,1.1777,1.0685,1.2894,0.8490,0.8375,0.8589,0.8668,0.6430,0.6391,0.6466,-0.0136,-0.0150,-0.0122,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,informee,_tous_axes,entropie,1.0771,1.0083,1.1487,0.8595,0.8523,0.8664,0.8647,0.6430,0.6391,0.6466,-0.0136,-0.0150,-0.0122,0.8646,0.5602,0.0554
agents entretien (v3),political_ideology,informee,_tous_axes,gini_simpson,1.1342,1.0486,1.2210,0.8603,0.8523,0.8681,0.8668,0.6430,0.6391,0.6466,-0.0136,-0.0150,-0.0122,0.8646,0.5602,0.0554
agents entretien (v3),profil croise,naive,political_ideology,entropie,1.3966,1.2979,1.4884,0.8392,0.8314,0.8471,0.8651,0.6377,0.6342,0.6411,-0.0188,-0.0200,-0.0176,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,naive,political_ideology,gini_simpson,1.4996,1.3887,1.6048,0.8349,0.8269,0.8431,0.8680,0.6377,0.6342,0.6411,-0.0188,-0.0200,-0.0176,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,naive,profil croise,entropie,1.0871,1.0212,1.1522,0.8520,0.8442,0.8602,0.8651,0.6377,0.6342,0.6411,-0.0188,-0.0200,-0.0176,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,naive,profil croise,gini_simpson,1.2506,1.1656,1.3320,0.8461,0.8378,0.8549,0.8680,0.6377,0.6342,0.6411,-0.0188,-0.0200,-0.0176,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,naive,_tous_axes,entropie,1.1485,1.0964,1.1969,0.8581,0.8520,0.8647,0.8651,0.6377,0.6342,0.6411,-0.0188,-0.0200,-0.0176,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,naive,_tous_axes,gini_simpson,1.2411,1.1756,1.3053,0.8589,0.8518,0.8653,0.8680,0.6377,0.6342,0.6411,-0.0188,-0.0200,-0.0176,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,informee,political_ideology,entropie,1.5512,1.4287,1.6859,0.8317,0.8213,0.8417,0.8651,0.6460,0.6420,0.6496,-0.0106,-0.0118,-0.0093,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,informee,political_ideology,gini_simpson,1.6622,1.5202,1.8159,0.8264,0.8148,0.8380,0.8680,0.6460,0.6420,0.6496,-0.0106,-0.0118,-0.0093,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,informee,profil croise,entropie,1.0871,0.9890,1.1832,0.8520,0.8414,0.8618,0.8651,0.6460,0.6420,0.6496,-0.0106,-0.0118,-0.0093,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,informee,profil croise,gini_simpson,1.2506,1.1303,1.3773,0.8461,0.8353,0.8572,0.8680,0.6460,0.6420,0.6496,-0.0106,-0.0118,-0.0093,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,informee,_tous_axes,entropie,1.2336,1.1586,1.3155,0.8561,0.8487,0.8630,0.8651,0.6460,0.6420,0.6496,-0.0106,-0.0118,-0.0093,0.8650,0.5596,0.0454
agents entretien (v3),profil croise,informee,_tous_axes,gini_simpson,1.3326,1.2327,1.4319,0.8566,0.8490,0.8649,0.8680,0.6460,0.6420,0.6496,-0.0106,-0.0118,-0.0093,0.8650,0.5596,0.0454
agents demographiques (v8),political_ideology,naive,political_ideology,entropie,1.0868,0.9968,1.1867,0.7877,0.7798,0.7962,0.8016,0.5255,0.5218,0.5292,-0.0337,-0.0362,-0.0311,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,naive,political_ideology,gini_simpson,1.2186,1.1115,1.3395,0.8049,0.7960,0.8137,0.8255,0.5255,0.5218,0.5292,-0.0337,-0.0362,-0.0311,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,naive,profil croise,entropie,1.1307,1.0570,1.2005,0.7822,0.7736,0.7912,0.8016,0.5255,0.5218,0.5292,-0.0337,-0.0362,-0.0311,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,naive,profil croise,gini_simpson,1.2570,1.1629,1.3527,0.8008,0.7915,0.8114,0.8255,0.5255,0.5218,0.5292,-0.0337,-0.0362,-0.0311,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,naive,_tous_axes,entropie,1.2095,1.1430,1.2745,0.7916,0.7851,0.7979,0.8016,0.5255,0.5218,0.5292,-0.0337,-0.0362,-0.0311,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,naive,_tous_axes,gini_simpson,1.3436,1.2608,1.4245,0.8128,0.8051,0.8201,0.8255,0.5255,0.5218,0.5292,-0.0337,-0.0362,-0.0311,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,informee,political_ideology,entropie,1.0868,0.9607,1.2117,0.7877,0.7774,0.7983,0.8016,0.5282,0.5240,0.5324,-0.0310,-0.0340,-0.0279,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,informee,political_ideology,gini_simpson,1.2186,1.0803,1.3723,0.8049,0.7932,0.8166,0.8255,0.5282,0.5240,0.5324,-0.0310,-0.0340,-0.0279,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,informee,profil croise,entropie,1.2989,1.1891,1.4085,0.7723,0.7615,0.7838,0.8016,0.5282,0.5240,0.5324,-0.0310,-0.0340,-0.0279,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,informee,profil croise,gini_simpson,1.4393,1.3115,1.5660,0.7903,0.7783,0.8035,0.8255,0.5282,0.5240,0.5324,-0.0310,-0.0340,-0.0279,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,informee,_tous_axes,entropie,1.4440,1.3516,1.5309,0.7859,0.7784,0.7940,0.8016,0.5282,0.5240,0.5324,-0.0310,-0.0340,-0.0279,0.8016,0.5812,0.1643
agents demographiques (v8),political_ideology,informee,_tous_axes,gini_simpson,1.5841,1.4702,1.6856,0.8069,0.7976,0.8159,0.8255,0.5282,0.5240,0.5324,-0.0310,-0.0340,-0.0279,0.8016,0.5812,0.1643
agents demographiques (v8),profil croise,naive,political_ideology,entropie,2.0179,1.8421,2.2033,0.7465,0.7385,0.7558,0.8055,0.5255,0.5218,0.5293,-0.0337,-0.0362,-0.0312,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,naive,political_ideology,gini_simpson,2.1361,1.9358,2.3476,0.7624,0.7534,0.7725,0.8308,0.5255,0.5218,0.5293,-0.0337,-0.0362,-0.0312,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,naive,profil croise,entropie,1.0673,0.9603,1.1656,0.7901,0.7806,0.8001,0.8055,0.5255,0.5218,0.5293,-0.0337,-0.0362,-0.0312,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,naive,profil croise,gini_simpson,1.2645,1.1299,1.3814,0.8060,0.7958,0.8167,0.8308,0.5255,0.5218,0.5293,-0.0337,-0.0362,-0.0312,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,naive,_tous_axes,entropie,1.3941,1.3017,1.4743,0.7911,0.7846,0.7977,0.8055,0.5255,0.5218,0.5293,-0.0337,-0.0362,-0.0312,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,naive,_tous_axes,gini_simpson,1.5664,1.4638,1.6688,0.8128,0.8055,0.8206,0.8308,0.5255,0.5218,0.5293,-0.0337,-0.0362,-0.0312,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,informee,political_ideology,entropie,2.8596,2.6095,3.1003,0.7055,0.6950,0.7154,0.8055,0.5328,0.5285,0.5371,-0.0263,-0.0292,-0.0235,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,informee,political_ideology,gini_simpson,2.9713,2.7034,3.2511,0.7186,0.7062,0.7298,0.8308,0.5328,0.5285,0.5371,-0.0263,-0.0292,-0.0235,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,informee,profil croise,entropie,1.0673,0.9544,1.1759,0.7901,0.7794,0.8013,0.8055,0.5328,0.5285,0.5371,-0.0263,-0.0292,-0.0235,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,informee,profil croise,gini_simpson,1.2645,1.1220,1.3985,0.8060,0.7947,0.8187,0.8308,0.5328,0.5285,0.5371,-0.0263,-0.0292,-0.0235,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,informee,_tous_axes,entropie,1.7699,1.6597,1.8750,0.7819,0.7750,0.7890,0.8055,0.5328,0.5285,0.5371,-0.0263,-0.0292,-0.0235,0.8055,0.5785,0.1490
agents demographiques (v8),profil croise,informee,_tous_axes,gini_simpson,1.9570,1.8241,2.0842,0.8032,0.7947,0.8117,0.8308,0.5328,0.5285,0.5371,-0.0263,-0.0292,-0.0235,0.8055,0.5785,0.1490
