condition,axe_transport,variante,axe_mesure,mesure,ratio_inter_avant,ratio_inter_apres
agents entretien (v3),political_ideology,informee,gender,gini_simpson,1.4805,1.3359
agents entretien (v3),political_ideology,informee,race,gini_simpson,1.7149,1.3096
agents entretien (v3),political_ideology,informee,political_ideology,gini_simpson,2.8239,1.0157
agents entretien (v3),political_ideology,informee,age,gini_simpson,1.1822,1.0907
agents entretien (v3),political_ideology,informee,education,gini_simpson,1.2411,1.2724
agents entretien (v3),political_ideology,informee,profil croise,gini_simpson,2.6128,1.1074
agents entretien (v3),political_ideology,dilatation,gender,gini_simpson,1.4805,1.5141
agents entretien (v3),political_ideology,dilatation,race,gini_simpson,1.7149,1.4737
agents entretien (v3),political_ideology,dilatation,political_ideology,gini_simpson,2.8239,1.6903
agents entretien (v3),political_ideology,dilatation,age,gini_simpson,1.1822,1.2898
agents entretien (v3),political_ideology,dilatation,education,gini_simpson,1.2411,1.4075
agents entretien (v3),political_ideology,dilatation,profil croise,gini_simpson,2.6128,1.7351
agents entretien (v3),profil croise,naive,gender,gini_simpson,1.4805,0.4947
agents entretien (v3),profil croise,naive,race,gini_simpson,1.7149,0.5179
agents entretien (v3),profil croise,naive,political_ideology,gini_simpson,2.8239,1.1544
agents entretien (v3),profil croise,naive,age,gini_simpson,1.1822,0.8619
agents entretien (v3),profil croise,naive,education,gini_simpson,1.2411,1.0059
agents entretien (v3),profil croise,naive,profil croise,gini_simpson,2.6128,1.0167
agents entretien (v3),profil croise,informee,gender,gini_simpson,1.4805,0.5018
agents entretien (v3),profil croise,informee,race,gini_simpson,1.7149,0.5262
agents entretien (v3),profil croise,informee,political_ideology,gini_simpson,2.8239,1.3320
agents entretien (v3),profil croise,informee,age,gini_simpson,1.1822,1.0579
agents entretien (v3),profil croise,informee,education,gini_simpson,1.2411,1.1551
agents entretien (v3),profil croise,informee,profil croise,gini_simpson,2.6128,1.0167
agents entretien (v3),profil croise,dilatation,gender,gini_simpson,1.4805,0.8710
