bloc,cle,quantite,valeur,reference,ecart,n,note
verification contre fig_1_data.dta,rep_rich,perception moyenne ponderee,38.24762803336622,38.24762725830078,7.750654376081911e-07,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,rep_rich,realite citee,2.2,2.191437244415283,0.008562755584716975,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
verification contre fig_1_data.dta,rep_old,perception moyenne ponderee,39.14321872683236,39.143218994140625,-2.673082661885928e-07,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,rep_old,realite citee,21.3,21.30064582824707,-0.000645828247069602,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
verification contre fig_1_data.dta,dem_aa,perception moyenne ponderee,28.69112456476653,28.691123962402344,6.02364185198212e-07,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,dem_aa,realite citee,8.7,8.668749809265137,0.03125019073486257,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
verification contre fig_1_data.dta,dem_black,perception moyenne ponderee,41.93494192077453,41.934940338134766,1.5826397614659982e-06,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,dem_black,realite citee,24.0,23.992250442504883,0.0077495574951171875,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
verification contre fig_1_data.dta,rep_evang,perception moyenne ponderee,41.55604237551742,41.5560417175293,6.579881244306307e-07,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,rep_evang,realite citee,34.3,34.29999923706055,7.629394502828291e-07,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
verification contre fig_1_data.dta,dem_lgb,perception moyenne ponderee,31.707186070951963,31.707185745239258,3.2571270480730163e-07,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,dem_lgb,realite citee,6.3,6.284162521362305,0.015837478637695135,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
verification contre fig_1_data.dta,rep_south,perception moyenne ponderee,40.39410833492351,40.394107818603516,5.163199929825169e-07,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,rep_south,realite citee,35.7,35.652259826660156,0.04774017333984659,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
verification contre fig_1_data.dta,dem_union,perception moyenne ponderee,39.331062691324696,39.33106231689453,3.744301650954185e-07,1000.0,"recalcul de notre cote contre le fichier produit par le code de replication des auteurs ; un ecart au dela de 0,01 point est un bug"
verification contre fig_1_data.dta,dem_union,realite citee,10.5,10.516311645507812,-0.0163116455078125,,"la valeur arrondie est celle que les auteurs emploient dans leurs propres calculs d'erreur relative, lignes 160 a 167 du .do"
erreur relative agregee,"erreur relative moyenne, huit items, tous repondants",moyenne sur les personnes puis sur les items,3.4031943363825876,3.2417370305433417,3.5703988630672323,1000.0,reference et ecart portent ici les bornes de l'IC a 95 pour cent
erreur relative agregee,"erreur relative moyenne, items democrates, repondants democrates",moyenne sur les personnes puis sur les items,2.0992639891730587,1.902864308996771,2.2952473445782817,438.0,reference et ecart portent ici les bornes de l'IC a 95 pour cent
erreur relative agregee,"erreur relative moyenne, items democrates, repondants republicains",moyenne sur les personnes puis sur les items,3.024594245624495,2.747729690086044,3.3075824604416715,336.0,reference et ecart portent ici les bornes de l'IC a 95 pour cent
erreur relative agregee,"erreur relative moyenne, items republicains, repondants republicains",moyenne sur les personnes puis sur les items,3.555575762319526,3.2528227787809025,3.8689988348407987,336.0,reference et ecart portent ici les bornes de l'IC a 95 pour cent
erreur relative agregee,"erreur relative moyenne, items republicains, repondants democrates",moyenne sur les personnes puis sur les items,5.11648796628567,4.7549611654654225,5.500190990059825,438.0,reference et ecart portent ici les bornes de l'IC a 95 pour cent
"explications alternatives, par condition",baserates_given | dem_black,perception moyenne,43.17894736842105,24.0,19.17894736842105,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",baserates_given | dem_union,perception moyenne,36.85263157894737,10.5,26.352631578947367,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",baserates_given | dem_aa,perception moyenne,34.694736842105264,8.7,25.994736842105265,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",baserates_given | dem_lgb,perception moyenne,35.88421052631579,6.3,29.58421052631579,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",baserates_given | rep_evang,perception moyenne,56.04210526315789,34.3,21.742105263157896,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",baserates_given | rep_rich,perception moyenne,39.21052631578947,2.2,37.01052631578947,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",baserates_given | rep_old,perception moyenne,53.14736842105263,21.3,31.847368421052632,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",baserates_given | rep_south,perception moyenne,52.73684210526316,35.7,17.036842105263155,95.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",complexask | dem_black,perception moyenne,28.404255319148938,24.0,4.4042553191489375,47.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",complexask | dem_union,perception moyenne,36.808510638297875,10.5,26.308510638297875,47.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",complexask | dem_aa,perception moyenne,25.851063829787233,8.7,17.151063829787233,47.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",complexask | dem_lgb,perception moyenne,24.617021276595743,6.3,18.317021276595742,47.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",complexask | rep_evang,perception moyenne,38.86274509803921,34.3,4.5627450980392155,51.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",complexask | rep_rich,perception moyenne,29.313725490196077,2.2,27.113725490196078,51.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",complexask | rep_old,perception moyenne,44.86274509803921,21.3,23.562745098039212,51.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
