axe,condition,cellules_separantes,erreurs,erreurs_vers_stereotype,erreurs_vers_moyenne,erreurs_ailleurs,part_stereotype,ic_bas,ic_haut,part_erreurs_expliquees,exactitude_sur_cellules_separantes,perimetre,h7_difference,h7_ic_bas,h7_ic_haut,h7_p,h7_p_holm,h7_p_bh
profil croise,agents enquete,29732,12769,4915,4811,3043,0.505346,0.493005,0.517724,0.761688,0.570530,1052,,,,,,
profil croise,agents demographiques (v6),29706,16943,4570,8973,3400,0.337444,0.326510,0.349030,0.799327,0.429644,1052,,,,,,
profil croise,agents v7,29744,17372,4702,9190,3480,0.338468,0.325478,0.352191,0.799678,0.415949,1052,,,,,,
profil croise,agents v8,29732,16084,7629,4192,4263,0.645377,0.629629,0.660114,0.734954,0.459034,1052,,,,,,
profil croise,B0 mode,29772,19146,494,18426,226,0.026110,0.023557,0.028739,0.988196,0.356913,1052,,,,,,
profil croise,B0 tirage,29772,18926,4993,8867,5066,0.360245,0.350768,0.370347,0.732326,0.364302,1052,,,,,,
profil croise,B1 argmax,29772,14665,7453,5144,2068,0.591649,0.578901,0.604416,0.858984,0.507423,1052,,,,,,
profil croise,B2 argmax,29772,12524,5004,6395,1125,0.438986,0.423707,0.454529,0.910172,0.579336,1052,,,,,,
profil croise,B3 foret,29772,14377,7347,6138,892,0.544828,0.531442,0.558566,0.937956,0.517097,1052,,,,,,
profil croise,humains vague 2,29772,7515,2712,2799,2004,0.492107,0.477331,0.506935,0.733333,0.747582,1052,,,,,,
