quantite,cle_modele,modele,ancrage,identite,camp,n_items,items,rapport_des_moyennes,rapport_ic_bas,rapport_ic_haut,rapport_geometrique,p_permutation,p_holm,taille_famille,verdict,p_minimal_atteignable,p_minimal_apres_holm,seuil_atteignable,direction_ponctuelle
base_propre,oss20,gpt-oss-20b,ideologie,adversaire,droite,3,"rep_evang,rep_old,rep_south",0.7629589925928,0.5322327280409287,0.8697427521437323,0.7312120469385069,0.247937603119844,0.247937603119844,1,non significatif,0.25,0.25,False,le modele exagere moins
base_propre,oss20,gpt-oss-20b,ideologie,journaliste,droite,3,"rep_evang,rep_old,rep_south",0.6112969754134269,0.5218456512862394,0.8445738271708159,0.6167281256500927,0.2534873256337183,0.5069746512674367,2,non significatif,0.25,0.5,False,le modele exagere moins
base_propre,oss20,gpt-oss-20b,ideologie,journaliste,gauche,3,"dem_aa,dem_lgb,dem_union",0.6282453820726115,0.169559730790802,1.4725748282808808,0.425670132986107,0.4974251287435628,0.5069746512674367,2,non significatif,0.25,0.5,False,le modele exagere moins
base_propre,oss20,gpt-oss-20b,parti,adversaire,droite,3,"rep_evang,rep_old,rep_south",0.6535145957811713,0.6004308109313028,0.789394011055336,0.6598656298617843,0.2528873556322183,0.2528873556322183,2,non significatif,0.25,0.5,False,le modele exagere moins
base_propre,oss20,gpt-oss-20b,parti,adversaire,gauche,1,dem_union,,,,1.1510197767062889,,,2,indecidable,1.0,2.0,False,dans la bande de nullite pratique
base_propre,oss20,gpt-oss-20b,parti,journaliste,droite,3,"rep_evang,rep_old,rep_south",0.6535145957811713,0.6004308109313028,0.789394011055336,0.6598656298617843,0.2527873606319684,0.2527873606319684,1,non significatif,0.25,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,droite,4,"rep_evang,rep_old,rep_rich,rep_south",0.4659276798128982,0.3889562280394369,0.8870774694833514,0.6605478052702481,0.127593620318984,0.2515874206289685,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,gauche,4,"dem_aa,dem_black,dem_lgb,dem_union",0.3934690330600229,0.1715125373867234,0.7338239389519915,0.3256002288583831,0.1257937103144842,0.2515874206289685,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,droite,4,"rep_evang,rep_old,rep_rich,rep_south",0.5031641838500852,0.3934397254696363,1.1831638192101823,0.7156178702199251,0.3730313484325783,0.3730313484325783,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,gauche,4,"dem_aa,dem_black,dem_lgb,dem_union",0.3939479240977599,0.1505514361121794,0.7671795725407183,0.3232491709100263,0.1268936553172341,0.2537873106344683,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,droite,4,"rep_evang,rep_old,rep_rich,rep_south",0.4464012657626139,0.3138541421775883,1.4380507969704523,0.75745131588138,0.6311184440777962,0.6311184440777962,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,gauche,4,"dem_aa,dem_black,dem_lgb,dem_union",0.518879329653693,0.1341979792093156,1.1087615245032922,0.3341313865187791,0.2507374631268436,0.5014749262536873,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,droite,4,"rep_evang,rep_old,rep_rich,rep_south",0.438882112518381,0.310535226764596,1.1807540257864968,0.7305618960324418,0.4990750462476876,0.7509624518774062,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,gauche,4,"dem_aa,dem_black,dem_lgb,dem_union",0.6217912252002178,0.1341979792093156,1.3694816807076065,0.3557979080000338,0.3754812259387031,0.7509624518774062,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,droite,4,"rep_evang,rep_old,rep_rich,rep_south",0.9242723295716944,0.8105013067576764,1.3608604422433204,1.006366602216403,1.0,1.0,2,non significatif,0.125,0.25,False,dans la bande de nullite pratique
base_propre,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,gauche,4,"dem_aa,dem_black,dem_lgb,dem_union",0.5944190895733719,0.2207288512477744,1.1674471756054412,0.4276612314074285,0.5015749212539373,1.0,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,droite,4,"rep_evang,rep_old,rep_rich,rep_south",0.8847310550283677,0.8235968009427805,1.3847157357078224,1.0715876735600722,0.8770561471926404,1.0,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,gauche,4,"dem_aa,dem_black,dem_lgb,dem_union",0.6919027049104902,0.1715125373867234,1.4898849669631342,0.479388679561829,0.5026248687565622,1.0,2,non significatif,0.125,0.25,False,le modele exagere moins
base_propre,q4,Qwen3-4B-Instruct-2507,parti,adversaire,droite,4,"rep_evang,rep_old,rep_rich,rep_south",0.4862290132093871,0.3176985904967843,1.797480349521123,0.8625161467272974,0.7501124943752813,0.9890505474726264,2,non significatif,0.125,0.25,False,le modele exagere moins
